"Appendix 1a. Person-years by State, Sex, and Age Group for 2020",,,
State,Sex,Age Group,2020 Person-years
DF,Female,65-69,49764
DF,Female,70-74,35500
DF,Female,75-79,22847
DF,Female,80-84,14926
DF,Female,85-89,7413
DF,Female,90+,4232
DF,Male,0,22144
DF,Male,1-4,83446
DF,Male,5-9,96989
DF,Male,10-14,105854
DF,Male,15-19,121286
DF,Male,20-24,126477
DF,Male,25-29,124482
DF,Male,30-34,130091
DF,Male,35-39,132454
DF,Male,40-44,121109
DF,Male,45-49,100397
DF,Male,50-54,86732
DF,Male,55-59,68710
DF,Male,60-64,51128
DF,Male,65-69,37754
DF,Male,70-74,25462
DF,Male,75-79,15598
DF,Male,80-84,9646
DF,Male,85-89,4067
DF,Male,90+,1777
DF,Total,0,43247
DF,Total,1-4,162671
DF,Total,5-9,188834
DF,Total,10-14,207271
DF,Total,15-19,239318
DF,Total,20-24,252785
DF,Total,25-29,253995
DF,Total,30-34,266982
DF,Total,35-39,279754
DF,Total,40-44,258733
DF,Total,45-49,214399
DF,Total,50-54,185508
DF,Total,55-59,151717
DF,Total,60-64,116061
DF,Total,65-69,87519
DF,Total,70-74,60961
DF,Total,75-79,38445
DF,Total,80-84,24572
DF,Total,85-89,11479
DF,Total,90+,6009
ES,Female,0,28134
ES,Female,1-4,112369
ES,Female,5-9,138717
ES,Female,10-14,133895
ES,Female,15-19,143416
ES,Female,20-24,155824
ES,Female,25-29,157831
ES,Female,30-34,168343
ES,Female,35-39,167628
ES,Female,40-44,155415
ES,Female,45-49,134213
ES,Female,50-54,125723
ES,Female,55-59,115915
ES,Female,60-64,99956
ES,Female,65-69,78211
ES,Female,70-74,54472
ES,Female,75-79,38015
ES,Female,80-84,26561
ES,Female,85-89,15578
ES,Female,90+,11758
ES,Male,0,29465
ES,Male,1-4,117469
ES,Male,5-9,144806
ES,Male,10-14,139587
ES,Male,15-19,148267
ES,Male,20-24,158622
ES,Male,25-29,158625
ES,Male,30-34,169787
ES,Male,35-39,165837
ES,Male,40-44,149809
ES,Male,45-49,126292
ES,Male,50-54,117814
ES,Male,55-59,106281
ES,Male,60-64,89719
ES,Male,65-69,68616
ES,Male,70-74,44914
ES,Male,75-79,28657
ES,Male,80-84,18308
ES,Male,85-89,9924
ES,Male,90+,6225
ES,Total,0,57599
ES,Total,1-4,229838
ES,Total,5-9,283522
ES,Total,10-14,273482
ES,Total,15-19,291684
ES,Total,20-24,314447
ES,Total,25-29,316456
ES,Total,30-34,338130
ES,Total,35-39,333465
ES,Total,40-44,305224
ES,Total,45-49,260504
ES,Total,50-54,243537
ES,Total,55-59,222196
ES,Total,60-64,189675
ES,Total,65-69,146828
ES,Total,70-74,99386
ES,Total,75-79,66672
ES,Total,80-84,44869
ES,Total,85-89,25503
ES,Total,90+,17983
GO,Female,0,49457
GO,Female,1-4,202552
GO,Female,5-9,254252
GO,Female,10-14,242481
GO,Female,15-19,255704
GO,Female,20-24,284943
GO,Female,25-29,295279
GO,Female,30-34,301861
GO,Female,35-39,296827
GO,Female,40-44,279687
GO,Female,45-49,246486
GO,Female,50-54,221166
GO,Female,55-59,188013
GO,Female,60-64,151192
GO,Female,65-69,115974
GO,Female,70-74,82412
GO,Female,75-79,54888
GO,Female,80-84,35061
GO,Female,85-89,17611
GO,Female,90+,9607
GO,Male,0,51803
GO,Male,1-4,211504
GO,Male,5-9,264722
GO,Male,10-14,252548
GO,Male,15-19,264685
GO,Male,20-24,290600
GO,Male,25-29,297448
GO,Male,30-34,306513
GO,Male,35-39,294532
GO,Male,40-44,270509
GO,Male,45-49,234481
GO,Male,50-54,208461
GO,Male,55-59,173523
GO,Male,60-64,135866
GO,Male,65-69,101098
GO,Male,70-74,71500
GO,Male,75-79,46528
GO,Male,80-84,28076
GO,Male,85-89,13319
GO,Male,90+,7094
GO,Total,0,101260
GO,Total,1-4,414056
GO,Total,5-9,518973
GO,Total,10-14,495029
GO,Total,15-19,520389
GO,Total,20-24,575543
GO,Total,25-29,592727
GO,Total,30-34,608375
GO,Total,35-39,591359
GO,Total,40-44,550196
GO,Total,45-49,480967
GO,Total,50-54,429627
GO,Total,55-59,361536
GO,Total,60-64,287059
GO,Total,65-69,217072
GO,Total,70-74,153912
GO,Total,75-79,101416
GO,Total,80-84,63138
GO,Total,85-89,30930
GO,Total,90+,16701
MA,Female,0,57617
MA,Female,1-4,229540
MA,Female,5-9,287657
MA,Female,10-14,320737
MA,Female,15-19,326818
MA,Female,20-24,333995
MA,Female,25-29,306411
MA,Female,30-34,303278
MA,Female,35-39,286651
MA,Female,40-44,245215
MA,Female,45-49,196752
MA,Female,50-54,171966
MA,Female,55-59,145278
MA,Female,60-64,119279
MA,Female,65-69,96747
MA,Female,70-74,70889
MA,Female,75-79,50753
MA,Female,80-84,34446
MA,Female,85-89,18672
MA,Female,90+,13829
MA,Male,0,60314
MA,Male,1-4,239943
MA,Male,5-9,300479
MA,Male,10-14,335038
MA,Male,15-19,339033
MA,Male,20-24,339934
MA,Male,25-29,296730
MA,Male,30-34,283329
MA,Male,35-39,265285
MA,Male,40-44,227353
MA,Male,45-49,183263
MA,Male,50-54,158243
MA,Male,55-59,130561
MA,Male,60-64,104334
MA,Male,65-69,82257
MA,Male,70-74,60477
MA,Male,75-79,41523
