"Appendix 1a. Projected Population for March 2021 by State, Sex, and Age Group",,,
* (projected by authors from IBGE mid-year population projections),,,
State,Sex,Age Group,Population
MT,Male,05-09," 139,173 "
MT,Male,10-14," 134,626 "
MT,Male,15-19," 137,613 "
MT,Male,20-24," 144,870 "
MT,Male,25-29," 148,931 "
MT,Male,30-34," 151,088 "
MT,Male,35-39," 147,772 "
MT,Male,40-44," 135,275 "
MT,Male,45-49," 117,936 "
MT,Male,50-54," 105,300 "
MT,Male,55-59," 90,485 "
MT,Male,60-64," 71,263 "
MT,Male,65-69," 51,624 "
MT,Male,70-74," 34,724 "
MT,Male,75-79," 21,913 "
MT,Male,80-84," 12,855 "
MT,Male,85-89," 6,119 "
MT,Male,90+," 3,258 "
MT,Total,0," 56,774 "
MT,Total,01-04," 227,050 "
MT,Total,05-09," 272,780 "
MT,Total,10-14," 264,120 "
MT,Total,15-19," 270,009 "
MT,Total,20-24," 283,416 "
MT,Total,25-29," 293,098 "
MT,Total,30-34," 295,957 "
MT,Total,35-39," 290,385 "
MT,Total,40-44," 268,911 "
MT,Total,45-49," 235,642 "
MT,Total,50-54," 209,444 "
MT,Total,55-59," 179,086 "
MT,Total,60-64," 141,277 "
MT,Total,65-69," 103,125 "
MT,Total,70-74," 70,259 "
MT,Total,75-79," 44,906 "
MT,Total,80-84," 26,895 "
MT,Total,85-89," 12,976 "
MT,Total,90+," 7,265 "
PA,Female,0," 70,208 "
PA,Female,01-04," 280,544 "
PA,Female,05-09," 354,957 "
PA,Female,10-14," 380,312 "
PA,Female,15-19," 394,217 "
PA,Female,20-24," 403,788 "
PA,Female,25-29," 385,339 "
PA,Female,30-34," 369,388 "
PA,Female,35-39," 353,644 "
PA,Female,40-44," 309,099 "
PA,Female,45-49," 255,355 "
PA,Female,50-54," 211,632 "
PA,Female,55-59," 169,763 "
PA,Female,60-64," 137,451 "
PA,Female,65-69," 105,565 "
PA,Female,70-74," 74,056 "
PA,Female,75-79," 51,404 "
PA,Female,80-84," 31,324 "
PA,Female,85-89," 16,486 "
PA,Female,90+," 10,115 "
PA,Male,0," 73,456 "
PA,Male,01-04," 293,571 "
PA,Male,05-09," 371,289 "
PA,Male,10-14," 397,541 "
PA,Male,15-19," 410,882 "
PA,Male,20-24," 415,899 "
PA,Male,25-29," 385,718 "
PA,Male,30-34," 363,662 "
PA,Male,35-39," 344,002 "
PA,Male,40-44," 304,975 "
PA,Male,45-49," 254,129 "
PA,Male,50-54," 212,067 "
PA,Male,55-59," 168,326 "
PA,Male,60-64," 133,768 "
PA,Male,65-69," 100,071 "
PA,Male,70-74," 67,817 "
PA,Male,75-79," 43,803 "
PA,Male,80-84," 24,536 "
PA,Male,85-89," 11,582 "
PA,Male,90+," 6,175 "
PA,Total,0," 143,664 "
PA,Total,01-04," 574,115 "
PA,Total,05-09," 726,246 "
PA,Total,10-14," 777,853 "
PA,Total,15-19," 805,099 "
PA,Total,20-24," 819,688 "
PA,Total,25-29," 771,057 "
PA,Total,30-34," 733,050 "
PA,Total,35-39," 697,645 "
PA,Total,40-44," 614,074 "
PA,Total,45-49," 509,484 "
PA,Total,50-54," 423,699 "
PA,Total,55-59," 338,089 "
PA,Total,60-64," 271,219 "
PA,Total,65-69," 205,637 "
PA,Total,70-74," 141,873 "
PA,Total,75-79," 95,207 "
PA,Total,80-84," 55,860 "
PA,Total,85-89," 28,068 "
PA,Total,90+," 16,290 "
PB,Female,0," 27,768 "
PB,Female,01-04," 111,454 "
PB,Female,05-09," 133,046 "
PB,Female,10-14," 144,955 "
PB,Female,15-19," 159,902 "
PB,Female,20-24," 166,943 "
PB,Female,25-29," 165,765 "
PB,Female,30-34," 167,442 "
PB,Female,35-39," 165,671 "
PB,Female,40-44," 155,175 "
PB,Female,45-49," 136,125 "
PB,Female,50-54," 126,170 "
PB,Female,55-59," 110,835 "
PB,Female,60-64," 89,260 "
PB,Female,65-69," 73,744 "
PB,Female,70-74," 61,637 "
PB,Female,75-79," 44,222 "
PB,Female,80-84," 31,782 "
PB,Female,85-89," 15,977 "
PB,Female,90+," 9,992 "
PB,Male,0," 29,153 "
PB,Male,01-04," 117,141 "
PB,Male,05-09," 140,085 "
PB,Male,10-14," 152,201 "
PB,Male,15-19," 164,836 "
PB,Male,20-24," 167,717 "
PB,Male,25-29," 160,618 "
PB,Male,30-34," 155,812 "
PB,Male,35-39," 152,381 "
PB,Male,40-44," 141,288 "
PB,Male,45-49," 122,393 "
PB,Male,50-54," 110,894 "
PB,Male,55-59," 95,876 "
PB,Male,60-64," 73,350 "
PB,Male,65-69," 57,392 "
PB,Male,70-74," 46,272 "
PB,Male,75-79," 31,345 "
PB,Male,80-84," 20,617 "
PB,Male,85-89," 9,790 "
PB,Male,90+," 5,861 "
PB,Total,0," 56,921 "
PB,Total,01-04," 228,595 "
PB,Total,05-09," 273,131 "
PB,Total,10-14," 297,157 "
PB,Total,15-19," 324,737 "
PB,Total,20-24," 334,659 "
PB,Total,25-29," 326,384 "
PB,Total,30-34," 323,255 "
PB,Total,35-39," 318,052 "
PB,Total,40-44," 296,463 "
PB,Total,45-49," 258,519 "
PB,Total,50-54," 237,063 "
PB,Total,55-59," 206,710 "
PB,Total,60-64," 162,611 "
PB,Total,65-69," 131,136 "
PB,Total,70-74," 107,909 "
PB,Total,75-79," 75,567 "
PB,Total,80-84," 52,399 "
PB,Total,85-89," 25,767 "
PB,Total,90+," 15,853 "
PE,Female,0," 66,532 "
PE,Female,01-04," 267,264 "
PE,Female,05-09," 343,840 "
PE,Female,10-14," 354,477 "
PE,Female,15-19," 378,059 "
PE,Female,20-24," 405,385 "
PE,Female,25-29," 393,959 "
PE,Female,30-34," 401,611 "
PE,Female,35-39," 396,125 "
PE,Female,40-44," 372,392 "
PE,Female,45-49," 333,158 "
PE,Female,50-54," 301,983 "
PE,Female,55-59," 262,173 "
PE,Female,60-64," 215,441 "
PE,Female,65-69," 173,753 "
PE,Female,70-74," 137,321 "
PE,Female,75-79," 96,385 "
PE,Female,80-84," 65,921 "
PE,Female,85-89," 34,086 "
PE,Female,90+," 21,217 "
PE,Male,0," 69,730 "
PE,Male,01-04," 280,089 "
PE,Male,05-09," 359,985 "
PE,Male,10-14," 369,655 "
PE,Male,15-19," 389,862 "
PE,Male,20-24," 409,560 "
PE,Male,25-29," 381,457 "
PE,Male,30-34," 373,664 "
PE,Male,35-39," 361,392 "
PE,Male,40-44," 334,440 "
PE,Male,45-49," 292,135 "
PE,Male,50-54," 257,843 "
PE,Male,55-59," 218,412 "
PE,Male,60-64," 173,031 "
PE,Male,65-69," 130,207 "
PE,Male,70-74," 99,408 "
PE,Male,75-79," 64,592 "
PE,Male,80-84," 40,029 "
PE,Male,85-89," 18,638 "
PE,Male,90+," 10,323 "
PE,Total,0," 136,262 "
PE,Total,01-04," 547,353 "
PE,Total,05-09," 703,825 "
PE,Total,10-14," 724,132 "
PE,Total,15-19," 767,922 "
PE,Total,20-24," 814,945 "
PE,Total,25-29," 775,417 "
PE,Total,30-34," 775,274 "
PE,Total,35-39," 757,517 "
PE,Total,40-44," 706,832 "
PE,Total,45-49," 625,293 "
PE,Total,50-54," 559,826 "
PE,Total,55-59," 480,585 "
PE,Total,60-64," 388,472 "
PE,Total,65-69," 303,960 "
PE,Total,70-74," 236,729 "
PE,Total,75-79," 160,978 "
PE,Total,80-84," 105,950 "
PE,Total,85-89," 52,723 "
PE,Total,90+," 31,540 "
PI,Female,0," 23,127 "
PI,Female,01-04," 92,604 "
PI,Female,05-09," 115,220 "
PI,Female,10-14," 123,749 "
PI,Female,15-19," 138,306 "
PI,Female,20-24," 143,919 "
PI,Female,25-29," 133,967 "
PI,Female,30-34," 136,942 "
PI,Female,35-39," 133,454 "
PI,Female,40-44," 125,132 "
PI,Female,45-49," 105,321 "
PI,Female,50-54," 95,752 "
PI,Female,55-59," 85,676 "
PI,Female,60-64," 71,863 "
PI,Female,65-69," 58,720 "
PI,Female,70-74," 44,297 "
PI,Female,75-79," 30,357 "
PI,Female,80-84," 20,893 "
PI,Female,85-89," 10,727 "
PI,Female,90+," 5,873 "
PI,Male,0," 24,250 "
PI,Male,01-04," 96,989 "
PI,Male,05-09," 120,233 "
PI,Male,10-14," 128,592 "
PI,Male,15-19," 142,624 "
PI,Male,20-24," 147,076 "
PI,Male,25-29," 129,658 "
PI,Male,30-34," 125,221 "
PI,Male,35-39," 121,159 "
PI,Male,40-44," 112,851 "
PI,Male,45-49," 95,157 "
PI,Male,50-54," 85,355 "
PI,Male,55-59," 73,914 "
PI,Male,60-64," 59,177 "
PI,Male,65-69," 46,237 "
PI,Male,70-74," 35,048 "
PI,Male,75-79," 23,203 "
PI,Male,80-84," 13,755 "
PI,Male,85-89," 6,271 "
PI,Male,90+," 3,109 "
PI,Total,0," 47,378 "
PI,Total,01-04," 189,592 "
PI,Total,05-09," 235,453 "
PI,Total,10-14," 252,341 "
PI,Total,15-19," 280,930 "
PI,Total,20-24," 290,996 "
PI,Total,25-29," 263,625 "
PI,Total,30-34," 262,163 "
PI,Total,35-39," 254,613 "
PI,Total,40-44," 237,983 "
PI,Total,45-49," 200,478 "
PI,Total,50-54," 181,107 "
PI,Total,55-59," 159,590 "
PI,Total,60-64," 131,041 "
PI,Total,65-69," 104,957 "
PI,Total,70-74," 79,346 "
PI,Total,75-79," 53,560 "
PI,Total,80-84," 34,648 "
PI,Total,85-89," 16,998 "
PI,Total,90+," 8,982 "
PR,Female,0," 76,606 "
PR,Female,01-04," 308,071 "
PR,Female,05-09," 377,941 "
PR,Female,10-14," 365,730 "
PR,Female,15-19," 389,958 "
PR,Female,20-24," 444,013 "
PR,Female,25-29," 459,332 "
PR,Female,30-34," 449,438 "
PR,Female,35-39," 444,421 "
PR,Female,40-44," 428,802 "
PR,Female,45-49," 402,463 "
PR,Female,50-54," 390,153 "
PR,Female,55-59," 359,609 "
PR,Female,60-64," 303,166 "
PR,Female,65-69," 243,525 "
PR,Female,70-74," 181,801 "
PR,Female,75-79," 125,249 "
PR,Female,80-84," 81,449 "
PR,Female,85-89," 45,304 "
PR,Female,90+," 27,095 "
PR,Male,0," 80,329 "
PR,Male,01-04," 323,190 "
PR,Male,05-09," 396,454 "
PR,Male,10-14," 382,755 "
PR,Male,15-19," 405,402 "
PR,Male,20-24," 456,314 "
PR,Male,25-29," 462,572 "
PR,Male,30-34," 444,242 "
PR,Male,35-39," 430,365 "
PR,Male,40-44," 406,244 "
PR,Male,45-49," 376,270 "
PR,Male,50-54," 358,890 "
PR,Male,55-59," 321,324 "
PR,Male,60-64," 263,634 "
PR,Male,65-69," 206,388 "
PR,Male,70-74," 149,383 "
PR,Male,75-79," 97,235 "
PR,Male,80-84," 59,403 "
PR,Male,85-89," 29,723 "
PR,Male,90+," 15,893 "
PR,Total,0," 156,935 "
PR,Total,01-04," 631,261 "
PR,Total,05-09," 774,396 "
PR,Total,10-14," 748,484 "
PR,Total,15-19," 795,360 "
PR,Total,20-24," 900,327 "
PR,Total,25-29," 921,904 "
PR,Total,30-34," 893,681 "
PR,Total,35-39," 874,786 "
PR,Total,40-44," 835,046 "
PR,Total,45-49," 778,733 "
PR,Total,50-54," 749,043 "
PR,Total,55-59," 680,933 "
PR,Total,60-64," 566,800 "
PR,Total,65-69," 449,913 "
PR,Total,70-74," 331,184 "
PR,Total,75-79," 222,484 "
PR,Total,80-84," 140,852 "
PR,Total,85-89," 75,027 "
PR,Total,90+," 42,988 "
RJ,Female,0," 108,702 "
RJ,Female,01-04," 439,268 "
RJ,Female,05-09," 541,022 "
RJ,Female,10-14," 515,214 "
RJ,Female,15-19," 548,786 "
RJ,Female,20-24," 650,790 "
RJ,Female,25-29," 658,028 "
RJ,Female,30-34," 670,855 "
RJ,Female,35-39," 702,977 "
RJ,Female,40-44," 690,167 "
RJ,Female,45-49," 624,438 "
RJ,Female,50-54," 588,520 "
RJ,Female,55-59," 566,853 "
RJ,Female,60-64," 513,729 "
RJ,Female,65-69," 422,941 "
RJ,Female,70-74," 321,510 "
RJ,Female,75-79," 218,211 "
RJ,Female,80-84," 150,871 "
RJ,Female,85-89," 89,615 "
RJ,Female,90+," 69,245 "
RJ,Male,0," 113,992 "
RJ,Male,01-04," 460,586 "
RJ,Male,05-09," 566,826 "
RJ,Male,10-14," 538,709 "
RJ,Male,15-19," 570,604 "
RJ,Male,20-24," 664,105 "
RJ,Male,25-29," 654,929 "
RJ,Male,30-34," 651,325 "
RJ,Male,35-39," 658,458 "
RJ,Male,40-44," 630,277 "
RJ,Male,45-49," 556,276 "
RJ,Male,50-54," 518,605 "
RJ,Male,55-59," 480,211 "
RJ,Male,60-64," 416,241 "
RJ,Male,65-69," 322,629 "
RJ,Male,70-74," 230,598 "
RJ,Male,75-79," 144,248 "
RJ,Male,80-84," 88,878 "
RJ,Male,85-89," 45,504 "
RJ,Male,90+," 25,594 "
RJ,Total,0," 222,695 "
RJ,Total,01-04," 899,854 "
RJ,Total,05-09," 1,107,847 "
RJ,Total,10-14," 1,053,923 "
RJ,Total,15-19," 1,119,391 "
RJ,Total,20-24," 1,314,895 "
RJ,Total,25-29," 1,312,957 "
RJ,Total,30-34," 1,322,180 "
RJ,Total,35-39," 1,361,436 "
RJ,Total,40-44," 1,320,444 "
RJ,Total,45-49," 1,180,715 "
RJ,Total,50-54," 1,107,125 "
RJ,Total,55-59," 1,047,064 "
RJ,Total,60-64," 929,970 "
RJ,Total,65-69," 745,570 "
RJ,Total,70-74," 552,108 "
RJ,Total,75-79," 362,459 "
RJ,Total,80-84," 239,749 "
RJ,Total,85-89," 135,120 "
RJ,Total,90+," 94,839 "
RN,Female,0," 23,159 "
RN,Female,01-04," 92,841 "
RN,Female,05-09," 119,330 "
RN,Female,10-14," 125,097 "
RN,Female,15-19," 133,176 "
RN,Female,20-24," 144,677 "
RN,Female,25-29," 147,552 "
RN,Female,30-34," 154,775 "
RN,Female,35-39," 148,272 "
RN,Female,40-44," 132,655 "
RN,Female,45-49," 117,242 "
RN,Female,50-54," 111,666 "
RN,Female,55-59," 99,960 "
RN,Female,60-64," 77,152 "
RN,Female,65-69," 59,068 "
RN,Female,70-74," 50,879 "
RN,Female,75-79," 35,421 "
RN,Female,80-84," 24,958 "
RN,Female,85-89," 13,230 "
RN,Female,90+," 9,684 "
RN,Male,0," 24,235 "
RN,Male,01-04," 97,004 "
RN,Male,05-09," 124,424 "
RN,Male,10-14," 129,973 "
RN,Male,15-19," 137,401 "
RN,Male,20-24," 148,828 "
RN,Male,25-29," 147,786 "
RN,Male,30-34," 152,722 "
RN,Male,35-39," 143,844 "
RN,Male,40-44," 125,141 "
RN,Male,45-49," 107,626 "
RN,Male,50-54," 100,814 "
RN,Male,55-59," 88,067 "
RN,Male,60-64," 64,768 "
RN,Male,65-69," 46,329 "
RN,Male,70-74," 38,281 "
RN,Male,75-79," 25,187 "
RN,Male,80-84," 16,190 "
RN,Male,85-89," 7,469 "
RN,Male,90+," 4,940 "
RN,Total,0," 47,394 "
RN,Total,01-04," 189,845 "
RN,Total,05-09," 243,754 "
RN,Total,10-14," 255,069 "
RN,Total,15-19," 270,576 "
RN,Total,20-24," 293,505 "
RN,Total,25-29," 295,338 "
RN,Total,30-34," 307,497 "
RN,Total,35-39," 292,116 "
RN,Total,40-44," 257,796 "
RN,Total,45-49," 224,868 "
RN,Total,50-54," 212,480 "
RN,Total,55-59," 188,027 "
RN,Total,60-64," 141,920 "
RN,Total,65-69," 105,397 "
RN,Total,70-74," 89,160 "
RN,Total,75-79," 60,608 "
RN,Total,80-84," 41,148 "
RN,Total,85-89," 20,700 "
RN,Total,90+," 14,624 "
RO,Female,0," 13,682 "
RO,Female,01-04," 54,817 "
RO,Female,05-09," 66,767 "
RO,Female,10-14," 66,329 "
RO,Female,15-19," 72,202 "
RO,Female,20-24," 77,221 "
RO,Female,25-29," 78,231 "
RO,Female,30-34," 76,853 "
RO,Female,35-39," 75,238 "
RO,Female,40-44," 68,232 "
RO,Female,45-49," 59,604 "
RO,Female,50-54," 51,326 "
RO,Female,55-59," 42,458 "
RO,Female,60-64," 32,951 "
RO,Female,65-69," 23,977 "
RO,Female,70-74," 15,521 "
RO,Female,75-79," 9,766 "
RO,Female,80-84," 5,541 "
RO,Female,85-89," 2,667 "
RO,Female,90+," 1,504 "
RO,Male,0," 14,336 "
RO,Male,01-04," 57,423 "
RO,Male,05-09," 69,968 "
RO,Male,10-14," 69,558 "
RO,Male,15-19," 75,176 "
RO,Male,20-24," 79,749 "
RO,Male,25-29," 79,001 "
RO,Male,30-34," 78,604 "
RO,Male,35-39," 75,622 "
RO,Male,40-44," 67,692 "
RO,Male,45-49," 57,652 "
RO,Male,50-54," 52,441 "
RO,Male,55-59," 44,876 "
RO,Male,60-64," 34,278 "
RO,Male,65-69," 23,828 "
RO,Male,70-74," 15,475 "
RO,Male,75-79," 9,336 "
RO,Male,80-84," 5,345 "
RO,Male,85-89," 2,388 "
RO,Male,90+," 1,271 "
RO,Total,0," 28,018 "
RO,Total,01-04," 112,241 "
RO,Total,05-09," 136,735 "
RO,Total,10-14," 135,887 "
RO,Total,15-19," 147,378 "
RO,Total,20-24," 156,970 "
RO,Total,25-29," 157,232 "
RO,Total,30-34," 155,457 "
RO,Total,35-39," 150,860 "
RO,Total,40-44," 135,925 "
RO,Total,45-49," 117,256 "
RO,Total,50-54," 103,767 "
RO,Total,55-59," 87,334 "
RO,Total,60-64," 67,229 "
RO,Total,65-69," 47,805 "
RO,Total,70-74," 30,997 "
RO,Total,75-79," 19,102 "
RO,Total,80-84," 10,886 "
RO,Total,85-89," 5,055 "
RO,Total,90+," 2,775 "
RR,Female,0," 6,060 "
RR,Female,01-04," 23,428 "
RR,Female,05-09," 27,411 "
RR,Female,10-14," 26,624 "
RR,Female,15-19," 26,152 "
RR,Female,20-24," 29,258 "
RR,Female,25-29," 30,251 "
RR,Female,30-34," 28,670 "
RR,Female,35-39," 26,493 "
RR,Female,40-44," 22,203 "
RR,Female,45-49," 17,260 "
RR,Female,50-54," 13,578 "
RR,Female,55-59," 10,879 "
RR,Female,60-64," 8,390 "
RR,Female,65-69," 5,931 "
RR,Female,70-74," 3,847 "
RR,Female,75-79," 2,299 "
RR,Female,80-84," 1,323 "
RR,Female,85-89, 646 
RR,Female,90+, 336 
RR,Male,0," 6,363 "
RR,Male,01-04," 24,562 "
RR,Male,05-09," 28,634 "
RR,Male,10-14," 27,611 "
RR,Male,15-19," 27,020 "
RR,Male,20-24," 31,728 "
RR,Male,25-29," 34,298 "
RR,Male,30-34," 32,651 "
RR,Male,35-39," 29,265 "
RR,Male,40-44," 23,946 "
RR,Male,45-49," 18,657 "
RR,Male,50-54," 14,861 "
RR,Male,55-59," 11,747 "
RR,Male,60-64," 8,751 "
RR,Male,65-69," 6,145 "
RR,Male,70-74," 4,067 "
RR,Male,75-79," 2,221 "
RR,Male,80-84," 1,143 "
RR,Male,85-89, 484 
RR,Male,90+, 222 
RR,Total,0," 12,422 "
RR,Total,01-04," 47,990 "
RR,Total,05-09," 56,044 "
RR,Total,10-14," 54,235 "
RR,Total,15-19," 53,172 "
RR,Total,20-24," 60,987 "
RR,Total,25-29," 64,549 "
RR,Total,30-34," 61,322 "
RR,Total,35-39," 55,758 "
RR,Total,40-44," 46,150 "
RR,Total,45-49," 35,917 "
RR,Total,50-54," 28,439 "
RR,Total,55-59," 22,626 "
RR,Total,60-64," 17,142 "
RR,Total,65-69," 12,076 "
RR,Total,70-74," 7,914 "
RR,Total,75-79," 4,520 "
RR,Total,80-84," 2,467 "
RR,Total,85-89," 1,130 "
RR,Total,90+, 557 
RS,Female,0," 68,144 "
RS,Female,01-04," 275,661 "
RS,Female,05-09," 342,566 "
RS,Female,10-14," 325,111 "
RS,Female,15-19," 365,782 "
RS,Female,20-24," 418,237 "
RS,Female,25-29," 428,945 "
RS,Female,30-34," 424,441 "
RS,Female,35-39," 441,485 "
RS,Female,40-44," 410,127 "
RS,Female,45-49," 375,402 "
RS,Female,50-54," 380,408 "
RS,Female,55-59," 387,777 "
RS,Female,60-64," 348,802 "
RS,Female,65-69," 289,911 "
RS,Female,70-74," 223,962 "
RS,Female,75-79," 156,101 "
RS,Female,80-84," 106,328 "
RS,Female,85-89," 63,523 "
RS,Female,90+," 46,818 "
RS,Male,0," 71,472 "
RS,Male,01-04," 289,101 "
RS,Male,05-09," 359,153 "
RS,Male,10-14," 340,864 "
RS,Male,15-19," 382,979 "
RS,Male,20-24," 432,207 "
RS,Male,25-29," 434,491 "
RS,Male,30-34," 424,908 "
RS,Male,35-39," 433,306 "
RS,Male,40-44," 392,511 "
RS,Male,45-49," 354,720 "
RS,Male,50-54," 349,609 "
RS,Male,55-59," 348,564 "
RS,Male,60-64," 305,583 "
RS,Male,65-69," 243,908 "
RS,Male,70-74," 177,519 "
RS,Male,75-79," 112,774 "
RS,Male,80-84," 67,094 "
RS,Male,85-89," 33,509 "
RS,Male,90+," 17,773 "
RS,Total,0," 139,617 "
RS,Total,01-04," 564,762 "
RS,Total,05-09," 701,719 "
RS,Total,10-14," 665,975 "
RS,Total,15-19," 748,761 "
RS,Total,20-24," 850,445 "
RS,Total,25-29," 863,437 "
RS,Total,30-34," 849,349 "
RS,Total,35-39," 874,791 "
RS,Total,40-44," 802,637 "
RS,Total,45-49," 730,122 "
RS,Total,50-54," 730,018 "
RS,Total,55-59," 736,341 "
RS,Total,60-64," 654,385 "
RS,Total,65-69," 533,819 "
RS,Total,70-74," 401,481 "
RS,Total,75-79," 268,875 "
RS,Total,80-84," 173,422 "
RS,Total,85-89," 97,033 "
RS,Total,90+," 64,591 "
SC,Female,0," 47,302 "
SC,Female,01-04," 190,582 "
SC,Female,05-09," 229,929 "
SC,Female,10-14," 218,417 "
SC,Female,15-19," 228,760 "
SC,Female,20-24," 269,286 "
SC,Female,25-29," 291,996 "
SC,Female,30-34," 301,483 "
SC,Female,35-39," 299,909 "
SC,Female,40-44," 271,072 "
SC,Female,45-49," 246,862 "
SC,Female,50-54," 239,546 "
SC,Female,55-59," 228,743 "
SC,Female,60-64," 189,850 "
SC,Female,65-69," 150,281 "
SC,Female,70-74," 110,128 "
SC,Female,75-79," 73,271 "
SC,Female,80-84," 48,626 "
SC,Female,85-89," 27,401 "
SC,Female,90+," 19,763 "
SC,Male,0," 49,604 "
SC,Male,01-04," 199,589 "
SC,Male,05-09," 240,257 "
SC,Male,10-14," 227,747 "
SC,Male,15-19," 238,117 "
SC,Male,20-24," 280,143 "
SC,Male,25-29," 302,166 "
SC,Male,30-34," 313,412 "
SC,Male,35-39," 306,843 "
SC,Male,40-44," 271,277 "
SC,Male,45-49," 241,661 "
SC,Male,50-54," 230,805 "
SC,Male,55-59," 213,825 "
SC,Male,60-64," 173,447 "
SC,Male,65-69," 132,584 "
SC,Male,70-74," 91,916 "
SC,Male,75-79," 55,840 "
SC,Male,80-84," 32,587 "
SC,Male,85-89," 15,750 "
SC,Male,90+," 8,604 "
SC,Total,0," 96,906 "
SC,Total,01-04," 390,171 "
SC,Total,05-09," 470,186 "
SC,Total,10-14," 446,164 "
SC,Total,15-19," 466,877 "
SC,Total,20-24," 549,429 "
SC,Total,25-29," 594,162 "
SC,Total,30-34," 614,895 "
SC,Total,35-39," 606,752 "
SC,Total,40-44," 542,349 "
SC,Total,45-49," 488,523 "
SC,Total,50-54," 470,351 "
SC,Total,55-59," 442,568 "
SC,Total,60-64," 363,297 "
SC,Total,65-69," 282,865 "
SC,Total,70-74," 202,044 "
SC,Total,75-79," 129,111 "
SC,Total,80-84," 81,212 "
SC,Total,85-89," 43,151 "
SC,Total,90+," 28,367 "
SE,Female,0," 16,577 "
SE,Female,01-04," 66,366 "
SE,Female,05-09," 83,393 "
SE,Female,10-14," 87,179 "
SE,Female,15-19," 91,655 "
SE,Female,20-24," 103,453 "
SE,Female,25-29," 102,239 "
SE,Female,30-34," 102,652 "
SE,Female,35-39," 99,365 "
SE,Female,40-44," 90,667 "
SE,Female,45-49," 79,057 "
SE,Female,50-54," 71,243 "
SE,Female,55-59," 59,826 "
SE,Female,60-64," 46,875 "
SE,Female,65-69," 36,932 "
SE,Female,70-74," 27,550 "
SE,Female,75-79," 18,991 "
SE,Female,80-84," 12,439 "
SE,Female,85-89," 6,694 "
SE,Female,90+," 3,863 "
SE,Male,0," 17,374 "
SE,Male,01-04," 69,503 "
SE,Male,05-09," 87,138 "
SE,Male,10-14," 90,519 "
SE,Male,15-19," 93,548 "
SE,Male,20-24," 103,911 "
SE,Male,25-29," 98,210 "
SE,Male,30-34," 95,233 "
SE,Male,35-39," 90,204 "
SE,Male,40-44," 80,816 "
SE,Male,45-49," 69,269 "
SE,Male,50-54," 62,252 "
SE,Male,55-59," 51,112 "
SE,Male,60-64," 39,066 "
SE,Male,65-69," 29,345 "
SE,Male,70-74," 21,375 "
SE,Male,75-79," 13,337 "
SE,Male,80-84," 7,585 "
SE,Male,85-89," 3,519 "
SE,Male,90+," 1,702 "
SE,Total,0," 33,951 "
SE,Total,01-04," 135,869 "
SE,Total,05-09," 170,531 "
SE,Total,10-14," 177,698 "
SE,Total,15-19," 185,203 "
SE,Total,20-24," 207,363 "
SE,Total,25-29," 200,449 "
SE,Total,30-34," 197,885 "
SE,Total,35-39," 189,569 "
SE,Total,40-44," 171,483 "
SE,Total,45-49," 148,326 "
SE,Total,50-54," 133,495 "
SE,Total,55-59," 110,937 "
SE,Total,60-64," 85,942 "
SE,Total,65-69," 66,277 "
SE,Total,70-74," 48,925 "
SE,Total,75-79," 32,328 "
SE,Total,80-84," 20,024 "
SE,Total,85-89," 10,213 "
SE,Total,90+," 5,566 "
SP,Female,0," 292,781 "
SP,Female,01-04," 1,185,652 "
SP,Female,05-09," 1,491,657 "
SP,Female,10-14," 1,444,698 "
SP,Female,15-19," 1,513,260 "
SP,Female,20-24," 1,693,726 "
SP,Female,25-29," 1,733,928 "
SP,Female,30-34," 1,871,597 "
SP,Female,35-39," 1,947,078 "
SP,Female,40-44," 1,843,046 "
SP,Female,45-49," 1,648,441 "
SP,Female,50-54," 1,526,602 "
SP,Female,55-59," 1,419,766 "
SP,Female,60-64," 1,249,955 "
SP,Female,65-69," 1,005,247 "
SP,Female,70-74," 756,133 "
SP,Female,75-79," 511,696 "
SP,Female,80-84," 348,727 "
SP,Female,85-89," 202,674 "
SP,Female,90+," 149,730 "
SP,Male,0," 306,926 "
SP,Male,01-04," 1,242,108 "
SP,Male,05-09," 1,561,394 "
SP,Male,10-14," 1,510,103 "
SP,Male,15-19," 1,576,326 "
SP,Male,20-24," 1,742,379 "
SP,Male,25-29," 1,767,430 "
SP,Male,30-34," 1,907,365 "
SP,Male,35-39," 1,917,284 "
SP,Male,40-44," 1,751,581 "
SP,Male,45-49," 1,533,298 "
SP,Male,50-54," 1,398,477 "
SP,Male,55-59," 1,240,273 "
SP,Male,60-64," 1,056,373 "
SP,Male,65-69," 822,557 "
SP,Male,70-74," 583,680 "
SP,Male,75-79," 367,457 "
SP,Male,80-84," 225,959 "
SP,Male,85-89," 115,537 "
SP,Male,90+," 64,400 "
SP,Total,0," 599,707 "
SP,Total,01-04," 2,427,760 "
SP,Total,05-09," 3,053,051 "
SP,Total,10-14," 2,954,800 "
SP,Total,15-19," 3,089,585 "
SP,Total,20-24," 3,436,107 "
SP,Total,25-29," 3,501,359 "
SP,Total,30-34," 3,778,963 "
SP,Total,35-39," 3,864,367 "
SP,Total,40-44," 3,594,629 "
SP,Total,45-49," 3,181,739 "
SP,Total,50-54," 2,925,080 "
SP,Total,55-59," 2,660,041 "
SP,Total,60-64," 2,306,328 "
SP,Total,65-69," 1,827,804 "
SP,Total,70-74," 1,339,813 "
SP,Total,75-79," 879,154 "
SP,Total,80-84," 574,686 "
SP,Total,85-89," 318,211 "
