"Appendix 1a. Projected Population for March 2021 by State, Sex, and Age Group",,,
* (projected by authors from IBGE mid-year population projections),,,
State,Sex,Age Group,Population
AC,Male,40-44," 29,032 "
AC,Male,45-49," 23,570 "
AC,Male,50-54," 19,369 "
AC,Male,55-59," 15,007 "
AC,Male,60-64," 11,700 "
AC,Male,65-69," 8,847 "
AC,Male,70-74," 6,198 "
AC,Male,75-79," 3,972 "
AC,Male,80-84," 2,284 "
AC,Male,85-89," 1,186 "
AC,Male,90+, 755 
AC,Total,0," 16,728 "
AC,Total,01-04," 66,409 "
AC,Total,05-09," 84,516 "
AC,Total,10-14," 88,232 "
AC,Total,15-19," 92,519 "
AC,Total,20-24," 88,603 "
AC,Total,25-29," 77,753 "
AC,Total,30-34," 70,330 "
AC,Total,35-39," 67,212 "
AC,Total,40-44," 59,385 "
AC,Total,45-49," 47,928 "
AC,Total,50-54," 39,463 "
AC,Total,55-59," 30,487 "
AC,Total,60-64," 23,942 "
AC,Total,65-69," 18,146 "
AC,Total,70-74," 12,783 "
AC,Total,75-79," 8,741 "
AC,Total,80-84," 5,137 "
AC,Total,85-89," 2,657 "
AC,Total,90+," 1,711 "
AL,Female,0," 24,489 "
AL,Female,01-04," 98,172 "
AL,Female,05-09," 126,233 "
AL,Female,10-14," 135,258 "
AL,Female,15-19," 148,604 "
AL,Female,20-24," 157,642 "
AL,Female,25-29," 144,590 "
AL,Female,30-34," 138,166 "
AL,Female,35-39," 135,658 "
AL,Female,40-44," 126,774 "
AL,Female,45-49," 109,950 "
AL,Female,50-54," 99,219 "
AL,Female,55-59," 82,492 "
AL,Female,60-64," 67,109 "
AL,Female,65-69," 54,465 "
AL,Female,70-74," 40,351 "
AL,Female,75-79," 28,005 "
AL,Female,80-84," 17,992 "
AL,Female,85-89," 9,503 "
AL,Female,90+," 5,935 "
AL,Male,0," 25,687 "
AL,Male,01-04," 102,869 "
AL,Male,05-09," 132,031 "
AL,Male,10-14," 141,139 "
AL,Male,15-19," 152,053 "
AL,Male,20-24," 156,371 "
AL,Male,25-29," 135,745 "
AL,Male,30-34," 120,863 "
AL,Male,35-39," 118,073 "
AL,Male,40-44," 109,869 "
AL,Male,45-49," 93,365 "
AL,Male,50-54," 83,672 "
AL,Male,55-59," 69,593 "
AL,Male,60-64," 54,687 "
AL,Male,65-69," 42,379 "
AL,Male,70-74," 31,308 "
AL,Male,75-79," 20,214 "
AL,Male,80-84," 11,391 "
AL,Male,85-89," 5,238 "
AL,Male,90+," 3,002 "
AL,Total,0," 50,176 "
AL,Total,01-04," 201,041 "
AL,Total,05-09," 258,264 "
AL,Total,10-14," 276,397 "
AL,Total,15-19," 300,657 "
AL,Total,20-24," 314,013 "
AL,Total,25-29," 280,336 "
AL,Total,30-34," 259,029 "
AL,Total,35-39," 253,731 "
AL,Total,40-44," 236,643 "
AL,Total,45-49," 203,316 "
AL,Total,50-54," 182,891 "
