"Appendix 2b: All-Cause Deaths in 2019 by State, Sex, and Age Group as Reported by MOH",,,
State,Sex,Age Group,All deaths
TO,Female,85-89,332
TO,Female,90+,344
TO,Male,0,146
TO,Male,01-04,38
TO,Male,05-09,20
TO,Male,10-14,37
TO,Male,15-19,141
TO,Male,20-24,168
TO,Male,25-29,159
TO,Male,30-34,174
TO,Male,35-39,196
TO,Male,40-44,194
TO,Male,45-49,218
TO,Male,50-54,275
TO,Male,55-59,294
TO,Male,60-64,372
TO,Male,65-69,390
TO,Male,70-74,409
TO,Male,75-79,462
TO,Male,80-84,497
TO,Male,85-89,380
TO,Male,90+,335
AC,Total,0,258
AC,Total,01-04,57
AC,Total,05-09,38
AC,Total,10-14,27
AC,Total,15-19,103
AC,Total,20-24,129
AC,Total,25-29,132
AC,Total,30-34,131
AC,Total,35-39,147
AC,Total,40-44,132
AC,Total,45-49,190
AC,Total,50-54,213
AC,Total,55-59,244
AC,Total,60-64,305
AC,Total,65-69,325
AC,Total,70-74,338
AC,Total,75-79,392
AC,Total,80-84,334
AC,Total,85-89,267
AC,Total,90+,314
AL,Total,0,653
AL,Total,01-04,122
AL,Total,05-09,73
AL,Total,10-14,94
AL,Total,15-19,381
AL,Total,20-24,542
AL,Total,25-29,440
AL,Total,30-34,453
AL,Total,35-39,558
AL,Total,40-44,677
AL,Total,45-49,821
AL,Total,50-54,1120
AL,Total,55-59,1320
AL,Total,60-64,1579
AL,Total,65-69,1916
AL,Total,70-74,2085
AL,Total,75-79,2120
AL,Total,80-84,2029
AL,Total,85-89,1640
AL,Total,90+,1629
AM,Total,0,1232
AM,Total,01-04,242
AM,Total,05-09,110
AM,Total,10-14,157
AM,Total,15-19,507
AM,Total,20-24,754
AM,Total,25-29,715
AM,Total,30-34,643
AM,Total,35-39,648
AM,Total,40-44,728
AM,Total,45-49,745
AM,Total,50-54,875
AM,Total,55-59,1105
AM,Total,60-64,1305
AM,Total,65-69,1507
AM,Total,70-74,1518
AM,Total,75-79,1573
AM,Total,80-84,1508
AM,Total,85-89,1161
AM,Total,90+,1222
AP,Total,0,288
AP,Total,01-04,58
AP,Total,05-09,29
AP,Total,10-14,31
AP,Total,15-19,156
AP,Total,20-24,183
AP,Total,25-29,120
AP,Total,30-34,115
AP,Total,35-39,111
AP,Total,40-44,132
AP,Total,45-49,144
AP,Total,50-54,181
AP,Total,55-59,221
AP,Total,60-64,255
AP,Total,65-69,266
AP,Total,70-74,273
AP,Total,75-79,269
AP,Total,80-84,248
AP,Total,85-89,213
AP,Total,90+,212
BA,Total,0,2935
BA,Total,01-04,410
BA,Total,05-09,251
BA,Total,10-14,378
BA,Total,15-19,1830
BA,Total,20-24,2669
BA,Total,25-29,2238
BA,Total,30-34,2414
BA,Total,35-39,2829
BA,Total,40-44,3234
BA,Total,45-49,3571
BA,Total,50-54,4758
BA,Total,55-59,5729
BA,Total,60-64,6841
BA,Total,65-69,7675
BA,Total,70-74,8237
BA,Total,75-79,9362
BA,Total,80-84,9141
BA,Total,85-89,8242
BA,Total,90+,10296
CE,Total,0,1569
CE,Total,01-04,255
CE,Total,05-09,179
CE,Total,10-14,219
CE,Total,15-19,809
CE,Total,20-24,1207
CE,Total,25-29,1119
CE,Total,30-34,1314
CE,Total,35-39,1452
CE,Total,40-44,1679
CE,Total,45-49,2048
CE,Total,50-54,2682
CE,Total,55-59,3214
CE,Total,60-64,3734
CE,Total,65-69,4512
CE,Total,70-74,5176
CE,Total,75-79,6018
CE,Total,80-84,6513
CE,Total,85-89,5425
CE,Total,90+,7378
DF,Total,0,361
DF,Total,01-04,74
DF,Total,05-09,35
DF,Total,10-14,38
DF,Total,15-19,164
DF,Total,20-24,236
DF,Total,25-29,252
DF,Total,30-34,266
DF,Total,35-39,417
DF,Total,40-44,451
DF,Total,45-49,556
DF,Total,50-54,732
DF,Total,55-59,865
DF,Total,60-64,993
DF,Total,65-69,1132
DF,Total,70-74,1195
DF,Total,75-79,1356
DF,Total,80-84,1416
DF,Total,85-89,1111
DF,Total,90+,1144
ES,Total,0,578
ES,Total,01-04,108
ES,Total,05-09,40
ES,Total,10-14,91
ES,Total,15-19,387
ES,Total,20-24,492
ES,Total,25-29,449
ES,Total,30-34,467
ES,Total,35-39,609
ES,Total,40-44,760
ES,Total,45-49,912
ES,Total,50-54,1255
ES,Total,55-59,1663
ES,Total,60-64,2078
ES,Total,65-69,2292
ES,Total,70-74,2286
ES,Total,75-79,2472
ES,Total,80-84,2634
ES,Total,85-89,2474
ES,Total,90+,2341
GO,Total,0,1252
GO,Total,01-04,202
GO,Total,05-09,115
GO,Total,10-14,134
GO,Total,15-19,606
GO,Total,20-24,991
GO,Total,25-29,888
GO,Total,30-34,1003
GO,Total,35-39,1202
GO,Total,40-44,1428
GO,Total,45-49,1726
GO,Total,50-54,2180
GO,Total,55-59,2722
GO,Total,60-64,3362
GO,Total,65-69,3742
GO,Total,70-74,4103
GO,Total,75-79,4386
GO,Total,80-84,4292
GO,Total,85-89,3414
GO,Total,90+,3152
MA,Total,0,1615
MA,Total,01-04,292
MA,Total,05-09,148
MA,Total,10-14,223
MA,Total,15-19,608
MA,Total,20-24,867
MA,Total,25-29,905
MA,Total,30-34,1062
MA,Total,35-39,1230
MA,Total,40-44,1249
MA,Total,45-49,1381
MA,Total,50-54,1617
MA,Total,55-59,2016
MA,Total,60-64,2408
MA,Total,65-69,3049
MA,Total,70-74,3229
MA,Total,75-79,3735
MA,Total,80-84,3545
MA,Total,85-89,2856
MA,Total,90+,2944
MG,Total,0,2930
MG,Total,01-04,500
MG,Total,05-09,269
MG,Total,10-14,347
MG,Total,15-19,1228
MG,Total,20-24,1898
MG,Total,25-29,1869
MG,Total,30-34,2464
MG,Total,35-39,3365
MG,Total,40-44,4035
MG,Total,45-49,5323
MG,Total,50-54,7303
MG,Total,55-59,9365
MG,Total,60-64,11489
MG,Total,65-69,13158
MG,Total,70-74,13805
MG,Total,75-79,15712
MG,Total,80-84,16356
MG,Total,85-89,14721
MG,Total,90+,14488
MS,Total,0,484
MS,Total,01-04,87
MS,Total,05-09,53
MS,Total,10-14,74
MS,Total,15-19,209
MS,Total,20-24,266
MS,Total,25-29,334
MS,Total,30-34,339
MS,Total,35-39,455
MS,Total,40-44,518
MS,Total,45-49,671
MS,Total,50-54,942
MS,Total,55-59,1151
MS,Total,60-64,1353
MS,Total,65-69,1609
MS,Total,70-74,1764
MS,Total,75-79,1771
MS,Total,80-84,1866
MS,Total,85-89,1457
MS,Total,90+,1357
MT,Total,0,742
MT,Total,01-04,142
MT,Total,05-09,60
MT,Total,10-14,102
MT,Total,15-19,305
MT,Total,20-24,424
MT,Total,25-29,474
MT,Total,30-34,497
MT,Total,35-39,594
MT,Total,40-44,746
MT,Total,45-49,865
MT,Total,50-54,1086
MT,Total,55-59,1311
MT,Total,60-64,1555
MT,Total,65-69,1730
MT,Total,70-74,1740
MT,Total,75-79,1827
MT,Total,80-84,1664
MT,Total,85-89,1317
MT,Total,90+,1082
PA,Total,0,2069
PA,Total,01-04,397
PA,Total,05-09,202
PA,Total,10-14,264
PA,Total,15-19,1018
PA,Total,20-24,1474
PA,Total,25-29,1386
PA,Total,30-34,1352
PA,Total,35-39,1497
PA,Total,40-44,1507
PA,Total,45-49,1552
PA,Total,50-54,1953
PA,Total,55-59,2436
PA,Total,60-64,2966
PA,Total,65-69,3419
PA,Total,70-74,3622
PA,Total,75-79,3937
PA,Total,80-84,3533
PA,Total,85-89,2883
PA,Total,90+,2829
PB,Total,0,746
PB,Total,01-04,121
PB,Total,05-09,68
PB,Total,10-14,91
PB,Total,15-19,295
PB,Total,20-24,442
PB,Total,25-29,464
PB,Total,30-34,565
PB,Total,35-39,675
PB,Total,40-44,820
PB,Total,45-49,1044
PB,Total,50-54,1304
PB,Total,55-59,1568
PB,Total,60-64,1861
PB,Total,65-69,2311
PB,Total,70-74,2651
PB,Total,75-79,2977
PB,Total,80-84,3187
PB,Total,85-89,2672
PB,Total,90+,3419
PE,Total,0,1609
PE,Total,01-04,248
PE,Total,05-09,138
PE,Total,10-14,230
PE,Total,15-19,962
PE,Total,20-24,1397
PE,Total,25-29,1322
PE,Total,30-34,1473
PE,Total,35-39,1650
PE,Total,40-44,2100
PE,Total,45-49,2405
PE,Total,50-54,3334
PE,Total,55-59,4091
PE,Total,60-64,4697
PE,Total,65-69,5705
PE,Total,70-74,6417
PE,Total,75-79,7042
PE,Total,80-84,7042
PE,Total,85-89,5657
PE,Total,90+,6378
PI,Total,0,694
PI,Total,01-04,101
PI,Total,05-09,52
PI,Total,10-14,83
PI,Total,15-19,265
PI,Total,20-24,388
PI,Total,25-29,413
PI,Total,30-34,512
PI,Total,35-39,582
PI,Total,40-44,673
PI,Total,45-49,721
PI,Total,50-54,979
PI,Total,55-59,1121
PI,Total,60-64,1286
PI,Total,65-69,1733
PI,Total,70-74,1851
PI,Total,75-79,2190
PI,Total,80-84,2341
PI,Total,85-89,2032
PI,Total,90+,2373
PR,Total,0,1575
PR,Total,01-04,283
PR,Total,05-09,146
PR,Total,10-14,187
PR,Total,15-19,750
PR,Total,20-24,1244
PR,Total,25-29,1265
PR,Total,30-34,1304
PR,Total,35-39,1669
PR,Total,40-44,1996
PR,Total,45-49,2782
PR,Total,50-54,3738
PR,Total,55-59,5014
PR,Total,60-64,6312
PR,Total,65-69,7263
PR,Total,70-74,8154
PR,Total,75-79,8662
PR,Total,80-84,8759
PR,Total,85-89,7296
PR,Total,90+,6020
RJ,Total,0,2728
RJ,Total,01-04,444
RJ,Total,05-09,235
RJ,Total,10-14,292
RJ,Total,15-19,1837
RJ,Total,20-24,2658
RJ,Total,25-29,2433
RJ,Total,30-34,2445
RJ,Total,35-39,2979
RJ,Total,40-44,3633
RJ,Total,45-49,4833
RJ,Total,50-54,6877
RJ,Total,55-59,9667
RJ,Total,60-64,13004
RJ,Total,65-69,14891
RJ,Total,70-74,15515
RJ,Total,75-79,15346
RJ,Total,80-84,15968
RJ,Total,85-89,14294
RJ,Total,90+,13746
RN,Total,0,535
RN,Total,01-04,83
RN,Total,05-09,55
RN,Total,10-14,68
RN,Total,15-19,381
RN,Total,20-24,524
RN,Total,25-29,490
RN,Total,30-34,495
RN,Total,35-39,568
RN,Total,40-44,640
RN,Total,45-49,807
RN,Total,50-54,1102
RN,Total,55-59,1342
RN,Total,60-64,1446
RN,Total,65-69,1759
RN,Total,70-74,2041
RN,Total,75-79,2311
RN,Total,80-84,2342
RN,Total,85-89,2003
RN,Total,90+,2769
RO,Total,0,309
RO,Total,01-04,56
RO,Total,05-09,33
RO,Total,10-14,37
RO,Total,15-19,135
RO,Total,20-24,189
RO,Total,25-29,194
RO,Total,30-34,240
RO,Total,35-39,276
RO,Total,40-44,330
RO,Total,45-49,361
RO,Total,50-54,487
RO,Total,55-59,605
RO,Total,60-64,692
RO,Total,65-69,766
RO,Total,70-74,806
RO,Total,75-79,840
RO,Total,80-84,798
RO,Total,85-89,663
RO,Total,90+,487
RR,Total,0,240
RR,Total,01-04,59
RR,Total,05-09,33
RR,Total,10-14,24
RR,Total,15-19,88
RR,Total,20-24,110
RR,Total,25-29,97
RR,Total,30-34,92
RR,Total,35-39,118
RR,Total,40-44,135
RR,Total,45-49,111
RR,Total,50-54,149
RR,Total,55-59,186
RR,Total,60-64,189
RR,Total,65-69,213
RR,Total,70-74,227
RR,Total,75-79,204
RR,Total,80-84,166
RR,Total,85-89,136
RR,Total,90+,141
RS,Total,0,1421
RS,Total,01-04,197
RS,Total,05-09,141
RS,Total,10-14,182
RS,Total,15-19,688
RS,Total,20-24,1011
RS,Total,25-29,1056
RS,Total,30-34,1233
RS,Total,35-39,1617
RS,Total,40-44,1985
RS,Total,45-49,2577
RS,Total,50-54,3912
RS,Total,55-59,5829
RS,Total,60-64,7750
RS,Total,65-69,9185
RS,Total,70-74,10070
RS,Total,75-79,10718
RS,Total,80-84,10935
RS,Total,85-89,9810
RS,Total,90+,8705
SC,Total,0,939
SC,Total,01-04,126
SC,Total,05-09,89
SC,Total,10-14,110
SC,Total,15-19,377
SC,Total,20-24,614
SC,Total,25-29,600
SC,Total,30-34,731
SC,Total,35-39,847
SC,Total,40-44,1162
SC,Total,45-49,1518
SC,Total,50-54,2293
SC,Total,55-59,2998
SC,Total,60-64,3707
SC,Total,65-69,4354
SC,Total,70-74,4607
SC,Total,75-79,4717
SC,Total,80-84,4850
SC,Total,85-89,4041
SC,Total,90+,3560
SE,Total,0,554
SE,Total,01-04,63
SE,Total,05-09,39
SE,Total,10-14,57
SE,Total,15-19,244
SE,Total,20-24,400
SE,Total,25-29,335
SE,Total,30-34,338
SE,Total,35-39,444
SE,Total,40-44,466
SE,Total,45-49,521
SE,Total,50-54,715
SE,Total,55-59,800
SE,Total,60-64,976
SE,Total,65-69,1163
SE,Total,70-74,1184
SE,Total,75-79,1366
SE,Total,80-84,1293
SE,Total,85-89,1111
SE,Total,90+,1387
SP,Total,0,6426
SP,Total,01-04,1021
SP,Total,05-09,495
SP,Total,10-14,623
SP,Total,15-19,2141
SP,Total,20-24,3599
SP,Total,25-29,3658
SP,Total,30-34,4687
SP,Total,35-39,6165
SP,Total,40-44,8126
SP,Total,45-49,10681
SP,Total,50-54,15155
SP,Total,55-59,20867
SP,Total,60-64,26990
SP,Total,65-69,30537
SP,Total,70-74,32207
SP,Total,75-79,33845
SP,Total,80-84,36048
SP,Total,85-89,31939
SP,Total,90+,30402
TO,Total,0,283
TO,Total,01-04,59
TO,Total,05-09,33
TO,Total,10-14,59
TO,Total,15-19,166
TO,Total,20-24,191
TO,Total,25-29,214
TO,Total,30-34,245
TO,Total,35-39,261
TO,Total,40-44,286
TO,Total,45-49,329
TO,Total,50-54,398
TO,Total,55-59,465
TO,Total,60-64,597
TO,Total,65-69,642
TO,Total,70-74,662
TO,Total,75-79,826
TO,Total,80-84,876
TO,Total,85-89,712
TO,Total,90+,679
