"Appendix 2b: All-Cause Deaths in 2019 by State, Sex, and Age Group as Reported by MOH",,,
State,Sex,Age Group,All deaths
DF,Male,10-14,18
DF,Male,15-19,126
DF,Male,20-24,198
DF,Male,25-29,193
DF,Male,30-34,197
DF,Male,35-39,285
DF,Male,40-44,303
DF,Male,45-49,348
DF,Male,50-54,454
DF,Male,55-59,521
DF,Male,60-64,572
DF,Male,65-69,649
DF,Male,70-74,623
DF,Male,75-79,663
DF,Male,80-84,713
DF,Male,85-89,443
DF,Male,90+,446
ES,Female,0,258
ES,Female,01-04,53
ES,Female,05-09,18
ES,Female,10-14,36
ES,Female,15-19,61
ES,Female,20-24,79
ES,Female,25-29,96
ES,Female,30-34,120
ES,Female,35-39,200
ES,Female,40-44,258
ES,Female,45-49,327
ES,Female,50-54,468
ES,Female,55-59,612
ES,Female,60-64,753
ES,Female,65-69,913
ES,Female,70-74,941
ES,Female,75-79,1183
ES,Female,80-84,1329
ES,Female,85-89,1400
ES,Female,90+,1455
ES,Male,0,320
ES,Male,01-04,55
ES,Male,05-09,22
ES,Male,10-14,55
ES,Male,15-19,326
ES,Male,20-24,413
ES,Male,25-29,353
ES,Male,30-34,347
ES,Male,35-39,409
ES,Male,40-44,502
ES,Male,45-49,585
ES,Male,50-54,787
ES,Male,55-59,1051
ES,Male,60-64,1325
ES,Male,65-69,1379
ES,Male,70-74,1345
ES,Male,75-79,1289
ES,Male,80-84,1305
ES,Male,85-89,1074
ES,Male,90+,886
GO,Female,0,547
GO,Female,01-04,93
GO,Female,05-09,51
GO,Female,10-14,45
GO,Female,15-19,110
GO,Female,20-24,176
GO,Female,25-29,161
GO,Female,30-34,265
GO,Female,35-39,351
GO,Female,40-44,443
GO,Female,45-49,626
GO,Female,50-54,797
GO,Female,55-59,1022
GO,Female,60-64,1338
GO,Female,65-69,1559
GO,Female,70-74,1786
GO,Female,75-79,2000
GO,Female,80-84,2101
GO,Female,85-89,1821
GO,Female,90+,1783
GO,Male,0,705
GO,Male,01-04,109
GO,Male,05-09,64
GO,Male,10-14,89
GO,Male,15-19,496
GO,Male,20-24,815
GO,Male,25-29,727
GO,Male,30-34,738
GO,Male,35-39,851
GO,Male,40-44,985
GO,Male,45-49,1100
GO,Male,50-54,1383
GO,Male,55-59,1700
GO,Male,60-64,2024
GO,Male,65-69,2183
GO,Male,70-74,2317
GO,Male,75-79,2386
GO,Male,80-84,2191
GO,Male,85-89,1593
GO,Male,90+,1369
MA,Female,0,686
MA,Female,01-04,118
MA,Female,05-09,55
MA,Female,10-14,92
MA,Female,15-19,143
MA,Female,20-24,187
MA,Female,25-29,201
MA,Female,30-34,287
MA,Female,35-39,355
MA,Female,40-44,405
MA,Female,45-49,486
MA,Female,50-54,629
MA,Female,55-59,817
MA,Female,60-64,1008
MA,Female,65-69,1283
MA,Female,70-74,1429
MA,Female,75-79,1629
MA,Female,80-84,1706
MA,Female,85-89,1484
MA,Female,90+,1632
MA,Male,0,929
MA,Male,01-04,174
MA,Male,05-09,93
MA,Male,10-14,131
MA,Male,15-19,465
MA,Male,20-24,680
MA,Male,25-29,704
MA,Male,30-34,775
MA,Male,35-39,875
MA,Male,40-44,844
MA,Male,45-49,895
MA,Male,50-54,988
MA,Male,55-59,1199
MA,Male,60-64,1400
MA,Male,65-69,1766
MA,Male,70-74,1800
MA,Male,75-79,2106
MA,Male,80-84,1839
MA,Male,85-89,1372
MA,Male,90+,1312
MG,Female,0,1303
MG,Female,01-04,225
MG,Female,05-09,106
MG,Female,10-14,148
MG,Female,15-19,279
MG,Female,20-24,420
MG,Female,25-29,433
MG,Female,30-34,667
MG,Female,35-39,1090
MG,Female,40-44,1337
MG,Female,45-49,1921
MG,Female,50-54,2600
MG,Female,55-59,3521
MG,Female,60-64,4590
MG,Female,65-69,5276
MG,Female,70-74,6047
MG,Female,75-79,7404
MG,Female,80-84,8338
MG,Female,85-89,8351
MG,Female,90+,9269
MG,Male,0,1627
MG,Male,01-04,275
MG,Male,05-09,163
MG,Male,10-14,199
MG,Male,15-19,949
MG,Male,20-24,1478
MG,Male,25-29,1436
MG,Male,30-34,1797
MG,Male,35-39,2275
MG,Male,40-44,2698
MG,Male,45-49,3402
MG,Male,50-54,4703
MG,Male,55-59,5844
MG,Male,60-64,6899
MG,Male,65-69,7882
MG,Male,70-74,7758
MG,Male,75-79,8308
MG,Male,80-84,8018
