Appendix 2a. 2020 All-cause and COVID-19 Deaths as Reported by the MOH,,,,
State,Sex,Age Group,All-cause Deaths,Covid-19 Deaths
ES,Total,60-64,2642,483
ES,Total,65-69,2951,601
ES,Total,70-74,2956,583
ES,Total,75-79,2929,592
ES,Total,80-84,3030,553
ES,Total,85-89,2710,439
ES,Total,90,2642,353
GO,Female,0,476,2
GO,Female,1-4,65,2
GO,Female,5-9,32,1
GO,Female,10-14,39,2
GO,Female,15-19,126,8
GO,Female,20-24,186,9
GO,Female,25-29,183,15
GO,Female,30-34,277,34
GO,Female,35-39,436,61
GO,Female,40-44,564,93
GO,Female,45-49,714,134
GO,Female,50-54,943,155
GO,Female,55-59,1247,211
GO,Female,60-64,1624,302
GO,Female,65-69,1933,398
GO,Female,70-74,2165,421
GO,Female,75-79,2270,397
GO,Female,80-84,2442,394
GO,Female,85-89,1998,306
GO,Female,90,1875,229
GO,Male,0,554,1
GO,Male,1-4,79,2
GO,Male,5-9,57,1
GO,Male,10-14,84,1
GO,Male,15-19,536,6
GO,Male,20-24,826,15
GO,Male,25-29,760,28
GO,Male,30-34,792,64
GO,Male,35-39,892,88
GO,Male,40-44,1144,140
GO,Male,45-49,1363,183
GO,Male,50-54,1660,244
GO,Male,55-59,2061,361
GO,Male,60-64,2555,561
GO,Male,65-69,2734,566
GO,Male,70-74,2893,620
GO,Male,75-79,2901,592
GO,Male,80-84,2711,491
GO,Male,85-89,1884,347
GO,Male,90,1523,206
GO,Total,0,1030,3
GO,Total,1-4,144,4
GO,Total,5-9,89,2
GO,Total,10-14,123,3
GO,Total,15-19,662,14
GO,Total,20-24,1012,24
GO,Total,25-29,943,43
GO,Total,30-34,1069,98
GO,Total,35-39,1328,149
GO,Total,40-44,1708,233
GO,Total,45-49,2077,317
GO,Total,50-54,2603,399
GO,Total,55-59,3308,572
GO,Total,60-64,4179,863
GO,Total,65-69,4667,964
GO,Total,70-74,5058,1041
GO,Total,75-79,5171,989
GO,Total,80-84,5153,885
GO,Total,85-89,3882,653
GO,Total,90,3398,435
MA,Female,0,658,5
MA,Female,1-4,120,5
MA,Female,5-9,52,1
MA,Female,10-14,65,2
MA,Female,15-19,163,11
MA,Female,20-24,211,10
