sg_uf,Age Group,Female,Male,,
PA,20-24,0.0012,0.0022,,
PA,25-29,0.0046,0.0049,,
PA,30-34,0.0074,0.0105,,
PA,35-39,0.0140,0.0177,,
PA,40-44,0.0150,0.0243,,
PA,45-49,0.0181,0.0304,,
PA,50-54,0.0292,0.0435,,
PA,55-59,0.0386,0.0531,,
PA,60-64,0.0562,0.0714,,
PA,65-69,0.0633,0.0898,,
PA,70-74,0.0612,0.0742,,
PA,75-79,0.0454,0.0587,,
PA,80-84,0.0423,0.0449,,
PA,85-89,0.0201,0.0268,,
PA,90+,0.0143,0.0116,,
PB,0,0.0000,0.0003,,
PB,01-04,0.0000,0.0000,,
PB,05-09,0.0000,0.0000,,
PB,10-14,0.0000,0.0003,,
PB,15-19,0.0003,0.0006,,
PB,20-24,0.0019,0.0010,,
PB,25-29,0.0042,0.0055,,
PB,30-34,0.0074,0.0155,,
PB,35-39,0.0132,0.0226,,
PB,40-44,0.0216,0.0323,,
PB,45-49,0.0165,0.0342,,
PB,50-54,0.0297,0.0407,,
PB,55-59,0.0384,0.0539,,
PB,60-64,0.0494,0.0617,,
PB,65-69,0.0581,0.0662,,
PB,70-74,0.0539,0.0646,,
PB,75-79,0.0536,0.0568,,
PB,80-84,0.0500,0.0475,,
PB,85-89,0.0304,0.0284,,
PB,90+,0.0216,0.0174,,
PE,0,0.0023,0.0009,,
PE,01-04,0.0000,0.0005,,
PE,05-09,0.0000,0.0005,,
PE,10-14,0.0014,0.0005,,
PE,15-19,0.0000,0.0009,,
PE,20-24,0.0014,0.0014,,
PE,25-29,0.0051,0.0051,,
PE,30-34,0.0088,0.0120,,
PE,35-39,0.0092,0.0134,,
PE,40-44,0.0185,0.0213,,
PE,45-49,0.0240,0.0323,,
PE,50-54,0.0328,0.0333,,
PE,55-59,0.0342,0.0481,,
PE,60-64,0.0481,0.0564,,
PE,65-69,0.0698,0.0656,,
PE,70-74,0.0550,0.0702,,
PE,75-79,0.0670,0.0675,,
PE,80-84,0.0504,0.0444,,
PE,85-89,0.0328,0.0236,,
PE,90+,0.0250,0.0166,,
PI,0,0.0021,0.0007,,
PI,01-04,0.0000,0.0000,,
PI,05-09,0.0000,0.0000,,
PI,10-14,0.0007,0.0000,,
PI,15-19,0.0000,0.0000,,
PI,20-24,0.0035,0.0049,,
PI,25-29,0.0063,0.0056,,
PI,30-34,0.0077,0.0105,,
PI,35-39,0.0063,0.0126,,
PI,40-44,0.0161,0.0223,,
PI,45-49,0.0209,0.0272,,
PI,50-54,0.0265,0.0405,,
PI,55-59,0.0286,0.0517,,
