Appendix 2a: 2021 Covid-19 Deaths as of April 30th as reported by Brasil.io (age and sex distribution according to hospitalized COVID-19 deaths),,,
State,Sex,Age Group,Covid Deaths
AC,Female,35-39,10
AC,Female,40-44,21
AC,Female,45-49,17
AC,Female,50-54,26
AC,Female,55-59,38
AC,Female,60-64,45
AC,Female,65-69,32
AC,Female,70-74,34
AC,Female,75-79,32
AC,Female,80-84,31
AC,Female,85-89,9
AC,Female,90+,10
AC,Male,0,0
AC,Male,01-04,1
AC,Male,05-09,0
AC,Male,10-14,0
AC,Male,15-19,4
AC,Male,20-24,0
AC,Male,25-29,3
AC,Male,30-34,13
AC,Male,35-39,18
AC,Male,40-44,19
AC,Male,45-49,23
AC,Male,50-54,27
AC,Male,55-59,39
AC,Male,60-64,64
AC,Male,65-69,54
AC,Male,70-74,52
AC,Male,75-79,30
AC,Male,80-84,38
AC,Male,85-89,16
AC,Male,90+,6
AC,Total,0,0
AC,Total,01-04,1
AC,Total,05-09,0
AC,Total,10-14,0
AC,Total,15-19,6
AC,Total,20-24,1
AC,Total,25-29,9
AC,Total,30-34,23
AC,Total,35-39,29
AC,Total,40-44,40
AC,Total,45-49,40
AC,Total,50-54,53
AC,Total,55-59,77
AC,Total,60-64,109
AC,Total,65-69,87
AC,Total,70-74,86
AC,Total,75-79,62
AC,Total,80-84,69
AC,Total,85-89,25
AC,Total,90+,17
AL,Female,0,6
AL,Female,01-04,0
AL,Female,05-09,0
AL,Female,10-14,0
AL,Female,15-19,4
AL,Female,20-24,8
AL,Female,25-29,12
AL,Female,30-34,10
AL,Female,35-39,22
AL,Female,40-44,31
AL,Female,45-49,43
AL,Female,50-54,36
AL,Female,55-59,63
AL,Female,60-64,96
AL,Female,65-69,101
AL,Female,70-74,105
AL,Female,75-79,74
AL,Female,80-84,78
AL,Female,85-89,41
AL,Female,90+,26
AL,Male,0,3
AL,Male,01-04,1
AL,Male,05-09,1
AL,Male,10-14,3
AL,Male,15-19,5
AL,Male,20-24,12
AL,Male,25-29,8
AL,Male,30-34,17
AL,Male,35-39,31
AL,Male,40-44,51
AL,Male,45-49,57
AL,Male,50-54,92
AL,Male,55-59,89
AL,Male,60-64,108
AL,Male,65-69,128
AL,Male,70-74,133
AL,Male,75-79,109
AL,Male,80-84,76
AL,Male,85-89,30
AL,Male,90+,21
AL,Total,0,9
AL,Total,01-04,1
AL,Total,05-09,1
AL,Total,10-14,3
AL,Total,15-19,9
AL,Total,20-24,19
AL,Total,25-29,19
AL,Total,30-34,27
AL,Total,35-39,53
AL,Total,40-44,82
AL,Total,45-49,100
AL,Total,50-54,128
AL,Total,55-59,153
AL,Total,60-64,203
AL,Total,65-69,229
AL,Total,70-74,238
AL,Total,75-79,183
AL,Total,80-84,154
AL,Total,85-89,71
AL,Total,90+,47
AM,Female,0,9
AM,Female,01-04,5
AM,Female,05-09,2
AM,Female,10-14,3
AM,Female,15-19,15
AM,Female,20-24,22
AM,Female,25-29,37
AM,Female,30-34,82
AM,Female,35-39,131
AM,Female,40-44,174
AM,Female,45-49,238
AM,Female,50-54,246
AM,Female,55-59,338
AM,Female,60-64,447
AM,Female,65-69,446
AM,Female,70-74,389
AM,Female,75-79,296
AM,Female,80-84,235
AM,Female,85-89,137
AM,Female,90+,106
AM,Male,0,11
AM,Male,01-04,4
AM,Male,05-09,1
AM,Male,10-14,4
AM,Male,15-19,8
AM,Male,20-24,26
AM,Male,25-29,55
AM,Male,30-34,98
AM,Male,35-39,187
AM,Male,40-44,235
AM,Male,45-49,271
AM,Male,50-54,381
AM,Male,55-59,421
AM,Male,60-64,507
AM,Male,65-69,495
AM,Male,70-74,447
AM,Male,75-79,343
AM,Male,80-84,259
AM,Male,85-89,170
AM,Male,90+,63
AM,Total,0,20
AM,Total,01-04,10
AM,Total,05-09,3
AM,Total,10-14,8
AM,Total,15-19,23
AM,Total,20-24,48
AM,Total,25-29,92
AM,Total,30-34,180
AM,Total,35-39,318
AM,Total,40-44,408
AM,Total,45-49,509
AM,Total,50-54,627
AM,Total,55-59,758
AM,Total,60-64,954
AM,Total,65-69,940
AM,Total,70-74,836
AM,Total,75-79,639
AM,Total,80-84,494
AM,Total,85-89,307
AM,Total,90+,169
AP,Female,0,2
AP,Female,01-04,1
AP,Female,05-09,0
AP,Female,10-14,0
AP,Female,15-19,1
AP,Female,20-24,2
AP,Female,25-29,7
AP,Female,30-34,12
AP,Female,35-39,13
AP,Female,40-44,15
AP,Female,45-49,17
AP,Female,50-54,26
AP,Female,55-59,30
AP,Female,60-64,48
AP,Female,65-69,30
AP,Female,70-74,26
AP,Female,75-79,15
AP,Female,80-84,10
AP,Female,85-89,8
AP,Female,90+,7
AP,Male,0,0
AP,Male,01-04,1
AP,Male,05-09,0
AP,Male,10-14,1
AP,Male,15-19,1
AP,Male,20-24,1
AP,Male,25-29,4
AP,Male,30-34,8
AP,Male,35-39,12
AP,Male,40-44,30
AP,Male,45-49,26
AP,Male,50-54,33
AP,Male,55-59,34
AP,Male,60-64,56
AP,Male,65-69,39
AP,Male,70-74,34
AP,Male,75-79,29
AP,Male,80-84,23
AP,Male,85-89,10
AP,Male,90+,5
AP,Total,0,2
AP,Total,01-04,2
AP,Total,05-09,0
AP,Total,10-14,1
AP,Total,15-19,2
AP,Total,20-24,4
AP,Total,25-29,11
AP,Total,30-34,20
AP,Total,35-39,25
AP,Total,40-44,45
AP,Total,45-49,43
AP,Total,50-54,59
AP,Total,55-59,64
AP,Total,60-64,103
AP,Total,65-69,69
AP,Total,70-74,61
AP,Total,75-79,44
AP,Total,80-84,32
AP,Total,85-89,18
AP,Total,90+,12
BA,Female,0,7
BA,Female,01-04,7
BA,Female,05-09,0
BA,Female,10-14,4
BA,Female,15-19,10
BA,Female,20-24,22
BA,Female,25-29,38
BA,Female,30-34,72
BA,Female,35-39,124
BA,Female,40-44,143
BA,Female,45-49,182
BA,Female,50-54,245
BA,Female,55-59,315
BA,Female,60-64,424
BA,Female,65-69,610
BA,Female,70-74,523
BA,Female,75-79,505
BA,Female,80-84,430
BA,Female,85-89,290
BA,Female,90+,228
BA,Male,0,3
BA,Male,01-04,9
BA,Male,05-09,4
BA,Male,10-14,4
BA,Male,15-19,13
BA,Male,20-24,24
BA,Male,25-29,50
BA,Male,30-34,105
BA,Male,35-39,189
BA,Male,40-44,210
BA,Male,45-49,279
BA,Male,50-54,361
BA,Male,55-59,480
BA,Male,60-64,566
BA,Male,65-69,703
BA,Male,70-74,655
BA,Male,75-79,609
BA,Male,80-84,462
BA,Male,85-89,263
BA,Male,90+,177
BA,Total,0,10
BA,Total,01-04,16
BA,Total,05-09,4
BA,Total,10-14,9
BA,Total,15-19,24
BA,Total,20-24,46
BA,Total,25-29,89
BA,Total,30-34,177
BA,Total,35-39,313
BA,Total,40-44,353
BA,Total,45-49,461
BA,Total,50-54,606
BA,Total,55-59,795
BA,Total,60-64,990
BA,Total,65-69,1313
BA,Total,70-74,1178
BA,Total,75-79,1114
BA,Total,80-84,892
BA,Total,85-89,553
BA,Total,90+,405
CE,Female,0,13
CE,Female,01-04,6
CE,Female,05-09,2
CE,Female,10-14,4
CE,Female,15-19,8
CE,Female,20-24,28
CE,Female,25-29,33
CE,Female,30-34,64
CE,Female,35-39,78
CE,Female,40-44,126
CE,Female,45-49,144
CE,Female,50-54,210
CE,Female,55-59,319
CE,Female,60-64,384
CE,Female,65-69,481
CE,Female,70-74,504
CE,Female,75-79,378
CE,Female,80-84,347
CE,Female,85-89,256
CE,Female,90+,197
CE,Male,0,18
CE,Male,01-04,6
CE,Male,05-09,1
CE,Male,10-14,3
CE,Male,15-19,7
CE,Male,20-24,18
CE,Male,25-29,50
CE,Male,30-34,105
CE,Male,35-39,153
CE,Male,40-44,203
CE,Male,45-49,250
CE,Male,50-54,303
CE,Male,55-59,355
CE,Male,60-64,443
CE,Male,65-69,519
CE,Male,70-74,514
CE,Male,75-79,471
CE,Male,80-84,380
CE,Male,85-89,197
CE,Male,90+,143
CE,Total,0,31
CE,Total,01-04,12
CE,Total,05-09,3
CE,Total,10-14,7
CE,Total,15-19,15
CE,Total,20-24,46
CE,Total,25-29,83
CE,Total,30-34,169
CE,Total,35-39,231
CE,Total,40-44,328
CE,Total,45-49,394
CE,Total,50-54,513
CE,Total,55-59,675
CE,Total,60-64,827
CE,Total,65-69,1000
CE,Total,70-74,1018
CE,Total,75-79,849
CE,Total,80-84,727
CE,Total,85-89,453
CE,Total,90+,339
DF,Female,0,0
DF,Female,01-04,1
DF,Female,05-09,0
DF,Female,10-14,0
DF,Female,15-19,1
DF,Female,20-24,2
DF,Female,25-29,14
DF,Female,30-34,22
DF,Female,35-39,47
DF,Female,40-44,76
DF,Female,45-49,85
DF,Female,50-54,99
DF,Female,55-59,159
DF,Female,60-64,190
DF,Female,65-69,246
DF,Female,70-74,196
DF,Female,75-79,129
DF,Female,80-84,104
DF,Female,85-89,74
DF,Female,90+,64
DF,Male,0,0
DF,Male,01-04,0
DF,Male,05-09,0
DF,Male,10-14,1
DF,Male,15-19,2
DF,Male,20-24,9
DF,Male,25-29,32
DF,Male,30-34,47
DF,Male,35-39,78
DF,Male,40-44,124
DF,Male,45-49,155
DF,Male,50-54,169
DF,Male,55-59,195
DF,Male,60-64,254
DF,Male,65-69,285
DF,Male,70-74,248
DF,Male,75-79,188
DF,Male,80-84,125
DF,Male,85-89,62
DF,Male,90+,54
DF,Total,0,0
DF,Total,01-04,1
DF,Total,05-09,0
DF,Total,10-14,1
DF,Total,15-19,3
DF,Total,20-24,11
DF,Total,25-29,46
DF,Total,30-34,69
DF,Total,35-39,125
DF,Total,40-44,200
DF,Total,45-49,240
DF,Total,50-54,268
DF,Total,55-59,354
DF,Total,60-64,444
DF,Total,65-69,531
DF,Total,70-74,444
DF,Total,75-79,318
DF,Total,80-84,229
DF,Total,85-89,137
DF,Total,90+,117
ES,Female,0,0
ES,Female,01-04,0
ES,Female,05-09,0
ES,Female,10-14,0
ES,Female,15-19,8
ES,Female,20-24,8
ES,Female,25-29,25
ES,Female,30-34,35
ES,Female,35-39,53
ES,Female,40-44,83
ES,Female,45-49,101
ES,Female,50-54,128
ES,Female,55-59,166
ES,Female,60-64,292
ES,Female,65-69,300
ES,Female,70-74,277
ES,Female,75-79,257
ES,Female,80-84,156
ES,Female,85-89,103
ES,Female,90+,70
ES,Male,0,0
ES,Male,01-04,0
ES,Male,05-09,0
ES,Male,10-14,0
ES,Male,15-19,0
ES,Male,20-24,18
ES,Male,25-29,18
ES,Male,30-34,33
