"Appendix 1b. Person-years by State, Sex, and Age Group for 2019",,,
State,Sex,Age Group,2019 Person-years
PI,Total,5-9,238154
PI,Total,10-14,265427
PI,Total,15-19,291939
PI,Total,20-24,290725
PI,Total,25-29,265036
PI,Total,30-34,265952
PI,Total,35-39,252307
PI,Total,40-44,228811
PI,Total,45-49,193113
PI,Total,50-54,177491
PI,Total,55-59,153580
PI,Total,60-64,125191
PI,Total,65-69,100482
PI,Total,70-74,75240
PI,Total,75-79,51349
PI,Total,80-84,33279
PI,Total,85-89,16027
PI,Total,90+,8711
PR,Female,0,77411
PR,Female,1-4,308899
PR,Female,5-9,370443
PR,Female,10-14,371726
PR,Female,15-19,406588
PR,Female,20-24,455415
PR,Female,25-29,458788
PR,Female,30-34,447284
PR,Female,35-39,442084
PR,Female,40-44,421417
PR,Female,45-49,398395
PR,Female,50-54,385465
PR,Female,55-59,345848
PR,Female,60-64,286607
PR,Female,65-69,227788
PR,Female,70-74,167629
PR,Female,75-79,115688
PR,Female,80-84,75336
PR,Female,85-89,41369
PR,Female,90+,23783
PR,Male,0,81158
PR,Male,1-4,324020
PR,Male,5-9,388522
PR,Male,10-14,388633
PR,Male,15-19,422467
PR,Male,20-24,466291
PR,Male,25-29,460194
PR,Male,30-34,440468
PR,Male,35-39,425775
PR,Male,40-44,398412
PR,Male,45-49,372226
PR,Male,50-54,353575
PR,Male,55-59,308345
PR,Male,60-64,249527
PR,Male,65-69,194129
PR,Male,70-74,138543
PR,Male,75-79,90545
PR,Male,80-84,55387
PR,Male,85-89,27152
PR,Male,90+,14098
PR,Total,0,158569
PR,Total,1-4,632920
PR,Total,5-9,758964
PR,Total,10-14,760359
PR,Total,15-19,829055
PR,Total,20-24,921706
PR,Total,25-29,918982
PR,Total,30-34,887753
PR,Total,35-39,867859
PR,Total,40-44,819829
PR,Total,45-49,770622
PR,Total,50-54,739040
PR,Total,55-59,654194
PR,Total,60-64,536134
PR,Total,65-69,421917
PR,Total,70-74,306172
PR,Total,75-79,206233
PR,Total,80-84,130724
PR,Total,85-89,68521
PR,Total,90+,37881
RJ,Female,0,110502
RJ,Female,1-4,441025
RJ,Female,5-9,528080
RJ,Female,10-14,520777
RJ,Female,15-19,575845
RJ,Female,20-24,664891
RJ,Female,25-29,656251
RJ,Female,30-34,681646
RJ,Female,35-39,707738
RJ,Female,40-44,674346
RJ,Female,45-49,609961
RJ,Female,50-54,586173
RJ,Female,55-59,560114
RJ,Female,60-64,494759
RJ,Female,65-69,398885
RJ,Female,70-74,297581
RJ,Female,75-79,203910
RJ,Female,80-84,144466
RJ,Female,85-89,84757
RJ,Female,90+,62751
RJ,Male,0,115858
RJ,Male,1-4,462351
RJ,Male,5-9,553116
RJ,Male,10-14,544223
RJ,Male,15-19,597628
RJ,Male,20-24,674308
RJ,Male,25-29,649533
RJ,Male,30-34,656083
RJ,Male,35-39,657969
RJ,Male,40-44,612598
RJ,Male,45-49,542591
RJ,Male,50-54,515096
RJ,Male,55-59,471260
RJ,Male,60-64,398503
RJ,Male,65-69,302756
RJ,Male,70-74,212908
RJ,Male,75-79,134065
RJ,Male,80-84,84102
RJ,Male,85-89,42331
RJ,Male,90+,23015
RJ,Total,0,226360
RJ,Total,1-4,903376
RJ,Total,5-9,1081196
RJ,Total,10-14,1065000
RJ,Total,15-19,1173473
RJ,Total,20-24,1339199
RJ,Total,25-29,1305784
RJ,Total,30-34,1337729
RJ,Total,35-39,1365707
RJ,Total,40-44,1286944
RJ,Total,45-49,1152552
RJ,Total,50-54,1101269
RJ,Total,55-59,1031374
RJ,Total,60-64,893261
RJ,Total,65-69,701641
RJ,Total,70-74,510489
RJ,Total,75-79,337976
RJ,Total,80-84,228568
RJ,Total,85-89,127088
RJ,Total,90+,85766
RN,Female,0,23320
RN,Female,1-4,93901
RN,Female,5-9,120078
RN,Female,10-14,128692
RN,Female,15-19,135942
RN,Female,20-24,147142
RN,Female,25-29,149618
RN,Female,30-34,154761
RN,Female,35-39,143589
RN,Female,40-44,127005
RN,Female,45-49,114712
RN,Female,50-54,109588
RN,Female,55-59,94033
RN,Female,60-64,70782
RN,Female,65-69,56714
RN,Female,70-74,48320
RN,Female,75-79,32957
RN,Female,80-84,23404
RN,Female,85-89,12199
RN,Female,90+,9246
RN,Male,0,24396
RN,Male,1-4,98070
RN,Male,5-9,125112
RN,Male,10-14,133522
RN,Male,15-19,140210
RN,Male,20-24,151027
RN,Male,25-29,148962
RN,Male,30-34,152561
RN,Male,35-39,138545
RN,Male,40-44,119158
RN,Male,45-49,105000
RN,Male,50-54,99004
RN,Male,55-59,82469
RN,Male,60-64,58938
RN,Male,65-69,44385
RN,Male,70-74,36691
RN,Male,75-79,23553
RN,Male,80-84,15286
RN,Male,85-89,6970
RN,Male,90+,4966
RN,Total,0,47717
RN,Total,1-4,191971
RN,Total,5-9,245191
RN,Total,10-14,262214
RN,Total,15-19,276152
RN,Total,20-24,298169
RN,Total,25-29,298580
RN,Total,30-34,307322
RN,Total,35-39,282134
RN,Total,40-44,246163
RN,Total,45-49,219712
RN,Total,50-54,208592
RN,Total,55-59,176502
RN,Total,60-64,129721
RN,Total,65-69,101100
RN,Total,70-74,85011
RN,Total,75-79,56510
RN,Total,80-84,38689
RN,Total,85-89,19169
RN,Total,90+,14212
RO,Female,0,13783
RO,Female,1-4,54522
RO,Female,5-9,65631
RO,Female,10-14,68121
RO,Female,15-19,74742
RO,Female,20-24,77532
RO,Female,25-29,77773
RO,Female,30-34,76376
RO,Female,35-39,73527
RO,Female,40-44,65460
RO,Female,45-49,57071
RO,Female,50-54,48872
RO,Female,55-59,39843
RO,Female,60-64,30520
RO,Female,65-69,21794
RO,Female,70-74,14036
RO,Female,75-79,9055
RO,Female,80-84,5118
RO,Female,85-89,2433
RO,Female,90+,1357
RO,Male,0,14441
RO,Male,1-4,57106
RO,Male,5-9,68761
RO,Male,10-14,71399
RO,Male,15-19,77756
RO,Male,20-24,79646
RO,Male,25-29,78682
RO,Male,30-34,78035
RO,Male,35-39,73569
RO,Male,40-44,64655
RO,Male,45-49,55878
RO,Male,50-54,51085
RO,Male,55-59,42432
RO,Male,60-64,31669
RO,Male,65-69,21847
RO,Male,70-74,14308
RO,Male,75-79,8756
RO,Male,80-84,5084
RO,Male,85-89,2232
RO,Male,90+,1180
RO,Total,0,28224
RO,Total,1-4,111627
RO,Total,5-9,134392
RO,Total,10-14,139520
RO,Total,15-19,152498
RO,Total,20-24,157177
RO,Total,25-29,156454
RO,Total,30-34,154411
RO,Total,35-39,147095
RO,Total,40-44,130115
RO,Total,45-49,112948
RO,Total,50-54,99957
RO,Total,55-59,82275
RO,Total,60-64,62189
RO,Total,65-69,43641
RO,Total,70-74,28343
RO,Total,75-79,17811
RO,Total,80-84,10202
RO,Total,85-89,4665
RO,Total,90+,2537
RR,Female,0,5869
RR,Female,1-4,22308
RR,Female,5-9,26698
RR,Female,10-14,25824
RR,Female,15-19,26387
RR,Female,20-24,28571
RR,Female,25-29,28364
RR,Female,30-34,26398
RR,Female,35-39,24626
RR,Female,40-44,19859
RR,Female,45-49,15511
RR,Female,50-54,12381
RR,Female,55-59,10021
RR,Female,60-64,7554
RR,Female,65-69,5232
RR,Female,70-74,3382
RR,Female,75-79,2029
RR,Female,80-84,1198
RR,Female,85-89,584
RR,Female,90+,312
RR,Male,0,6162
RR,Male,1-4,23382
RR,Male,5-9,27878
RR,Male,10-14,26752
RR,Male,15-19,27315
RR,Male,20-24,30915
RR,Male,25-29,31222
RR,Male,30-34,29078
RR,Male,35-39,26058
RR,Male,40-44,21007
RR,Male,45-49,16589
RR,Male,50-54,13472
RR,Male,55-59,10750
RR,Male,60-64,7868
RR,Male,65-69,5617
RR,Male,70-74,3628
RR,Male,75-79,1979
RR,Male,80-84,1048
RR,Male,85-89,441
RR,Male,90+,210
RR,Total,0,12031
RR,Total,1-4,45690
RR,Total,5-9,54576
RR,Total,10-14,52576
RR,Total,15-19,53701
RR,Total,20-24,59486
RR,Total,25-29,59586
RR,Total,30-34,55475
RR,Total,35-39,50683
RR,Total,40-44,40865
RR,Total,45-49,32100
RR,Total,50-54,25853
RR,Total,55-59,20771
RR,Total,60-64,15422
RR,Total,65-69,10849
RR,Total,70-74,7009
RR,Total,75-79,4007
RR,Total,80-84,2247
RR,Total,85-89,1025
RR,Total,90+,521
RS,Female,0,68890
RS,Female,1-4,279376
RS,Female,5-9,332954
RS,Female,10-14,337570
RS,Female,15-19,384025
RS,Female,20-24,428006
RS,Female,25-29,429747
RS,Female,30-34,430099
RS,Female,35-39,439363
RS,Female,40-44,397306
RS,Female,45-49,374481
RS,Female,50-54,387873
RS,Female,55-59,384217
RS,Female,60-64,334504
RS,Female,65-69,274098
RS,Female,70-74,207823
RS,Female,75-79,145312
RS,Female,80-84,100767
RS,Female,85-89,59528
RS,Female,90+,41843
RS,Male,0,72245
RS,Male,1-4,292967
RS,Male,5-9,349040
RS,Male,10-14,353814
RS,Male,15-19,401486
RS,Male,20-24,439799
RS,Male,25-29,433734
RS,Male,30-34,429329
RS,Male,35-39,428667
RS,Male,40-44,379401
RS,Male,45-49,352633
RS,Male,50-54,355382
RS,Male,55-59,345449
RS,Male,60-64,292887
RS,Male,65-69,230217
RS,Male,70-74,164105
RS,Male,75-79,103816
RS,Male,80-84,62464
RS,Male,85-89,30714
RS,Male,90+,15744
RS,Total,0,141135
RS,Total,1-4,572343
RS,Total,5-9,681994
RS,Total,10-14,691384
RS,Total,15-19,785511
RS,Total,20-24,867805
RS,Total,25-29,863481
RS,Total,30-34,859428
RS,Total,35-39,868030
RS,Total,40-44,776707
RS,Total,45-49,727113
RS,Total,50-54,743256
RS,Total,55-59,729666
RS,Total,60-64,627390
RS,Total,65-69,504315
RS,Total,70-74,371927
RS,Total,75-79,249128
RS,Total,80-84,163231
RS,Total,85-89,90242
RS,Total,90+,57587
SC,Female,0,47511
SC,Female,1-4,189122
SC,Female,5-9,222130
SC,Female,10-14,219500
SC,Female,15-19,235216
SC,Female,20-24,277609
SC,Female,25-29,293327
SC,Female,30-34,300444
SC,Female,35-39,291775
SC,Female,40-44,260213
SC,Female,45-49,242610
SC,Female,50-54,237783
SC,Female,55-59,219894
SC,Female,60-64,177149
SC,Female,65-69,139217
SC,Female,70-74,99760
SC,Female,75-79,66908
SC,Female,80-84,45021
SC,Female,85-89,24815
SC,Female,90+,17357
SC,Male,0,49817
SC,Male,1-4,198028
SC,Male,5-9,232038
SC,Male,10-14,228974
SC,Male,15-19,244734
SC,Male,20-24,287825
SC,Male,25-29,303590
SC,Male,30-34,311456
SC,Male,35-39,296807
SC,Male,40-44,258862
SC,Male,45-49,236837
SC,Male,50-54,228284
SC,Male,55-59,205032
SC,Male,60-64,162041
SC,Male,65-69,122637
SC,Male,70-74,83025
SC,Male,75-79,50495
SC,Male,80-84,29874
SC,Male,85-89,14118
SC,Male,90+,7577
SC,Total,0,97328
SC,Total,1-4,387151
SC,Total,5-9,454168
SC,Total,10-14,448474
SC,Total,15-19,479950
SC,Total,20-24,565434
SC,Total,25-29,596917
SC,Total,30-34,611900
SC,Total,35-39,588582
SC,Total,40-44,519075
SC,Total,45-49,479446
SC,Total,50-54,466067
SC,Total,55-59,424926
SC,Total,60-64,339190
SC,Total,65-69,261854
SC,Total,70-74,182785
SC,Total,75-79,117403
SC,Total,80-84,74895
SC,Total,85-89,38933
SC,Total,90+,24934
SE,Female,0,16764
SE,Female,1-4,66334
SE,Female,5-9,83758
SE,Female,10-14,88991
SE,Female,15-19,94823
SE,Female,20-24,104861
SE,Female,25-29,101776
SE,Female,30-34,102357
SE,Female,35-39,97080
SE,Female,40-44,86983
SE,Female,45-49,76285
SE,Female,50-54,68397
SE,Female,55-59,56008
SE,Female,60-64,43863
SE,Female,65-69,34738
SE,Female,70-74,25644
SE,Female,75-79,17717
SE,Female,80-84,11672
SE,Female,85-89,6250
SE,Female,90+,3616
SE,Male,0,17564
SE,Male,1-4,69442
SE,Male,5-9,87458
SE,Male,10-14,92223
SE,Male,15-19,96704
SE,Male,20-24,105014
SE,Male,25-29,96989
SE,Male,30-34,94761
SE,Male,35-39,87985
SE,Male,40-44,77429
SE,Male,45-49,67143
SE,Male,50-54,60078
SE,Male,55-59,47882
SE,Male,60-64,36571
SE,Male,65-69,27782
SE,Male,70-74,20095
SE,Male,75-79,12345
SE,Male,80-84,7140
SE,Male,85-89,3317
SE,Male,90+,1669
SE,Total,0,34329
SE,Total,1-4,135775
SE,Total,5-9,171216
SE,Total,10-14,181214
SE,Total,15-19,191526
SE,Total,20-24,209875
SE,Total,25-29,198764
SE,Total,30-34,197118
SE,Total,35-39,185066
SE,Total,40-44,164412
SE,Total,45-49,143428
SE,Total,50-54,128475
SE,Total,55-59,103890
SE,Total,60-64,80434
SE,Total,65-69,62521
SE,Total,70-74,45739
SE,Total,75-79,30062
SE,Total,80-84,18812
SE,Total,85-89,9566
SE,Total,90+,5286
SP,Female,0,296111
SP,Female,1-4,1198304
SP,Female,5-9,1470279
SP,Female,10-14,1456774
SP,Female,15-19,1557696
SP,Female,20-24,1708807
SP,Female,25-29,1757100
SP,Female,30-34,1911399
SP,Female,35-39,1936135
SP,Female,40-44,1785920
SP,Female,45-49,1601792
SP,Female,50-54,1502353
SP,Female,55-59,1384279
SP,Female,60-64,1190480
SP,Female,65-69,939318
SP,Female,70-74,694947
SP,Female,75-79,473538
SP,Female,80-84,329008
SP,Female,85-89,188901
SP,Female,90+,134162
SP,Male,0,310373
SP,Male,1-4,1255218
SP,Male,5-9,1538734
SP,Male,10-14,1522864
SP,Male,15-19,1619310
SP,Male,20-24,1749075
SP,Male,25-29,1791804
SP,Male,30-34,1934257
SP,Male,35-39,1885206
SP,Male,40-44,1686240
SP,Male,45-49,1488601
SP,Male,50-54,1367824
SP,Male,55-59,1200944
SP,Male,60-64,1007453
SP,Male,65-69,767359
SP,Male,70-74,534600
SP,Male,75-79,338617
SP,Male,80-84,211373
SP,Male,85-89,106414
SP,Male,90+,57390
SP,Total,0,606484
SP,Total,1-4,2453522
SP,Total,5-9,3009013
SP,Total,10-14,2979638
SP,Total,15-19,3177006
SP,Total,20-24,3457882
SP,Total,25-29,3548903
SP,Total,30-34,3845655
SP,Total,35-39,3821340
SP,Total,40-44,3472160
SP,Total,45-49,3090393
SP,Total,50-54,2870177
SP,Total,55-59,2585223
SP,Total,60-64,2197933
SP,Total,65-69,1706677
SP,Total,70-74,1229547
SP,Total,75-79,812155
SP,Total,80-84,540381
SP,Total,85-89,295315
SP,Total,90+,191552
TO,Female,0,12510
TO,Female,1-4,48753
TO,Female,5-9,61380
TO,Female,10-14,65606
TO,Female,15-19,68151
TO,Female,20-24,70927
TO,Female,25-29,67959
TO,Female,30-34,65543
TO,Female,35-39,62968
TO,Female,40-44,56161
TO,Female,45-49,45340
TO,Female,50-54,40060
TO,Female,55-59,32358
TO,Female,60-64,25891
TO,Female,65-69,20121
TO,Female,70-74,14609
TO,Female,75-79,9940
TO,Female,80-84,6610
TO,Female,85-89,3319
TO,Female,90+,1722
TO,Male,0,13123
TO,Male,1-4,51012
TO,Male,5-9,64132
TO,Male,10-14,68418
TO,Male,15-19,70322
TO,Male,20-24,73165
TO,Male,25-29,68322
TO,Male,30-34,64837
TO,Male,35-39,61483
TO,Male,40-44,55216
TO,Male,45-49,46515
TO,Male,50-54,40180
TO,Male,55-59,32890
TO,Male,60-64,25985
TO,Male,65-69,20321
TO,Male,70-74,14665
TO,Male,75-79,10096
TO,Male,80-84,6470
TO,Male,85-89,3170
TO,Male,90+,1562
TO,Total,0,25632
TO,Total,1-4,99765
TO,Total,5-9,125512
TO,Total,10-14,134024
TO,Total,15-19,138473
TO,Total,20-24,144092
TO,Total,25-29,136281
TO,Total,30-34,130380
TO,Total,35-39,124451
TO,Total,40-44,111377
TO,Total,45-49,91855
TO,Total,50-54,80240
TO,Total,55-59,65249
TO,Total,60-64,51876
TO,Total,65-69,40442
TO,Total,70-74,29275
TO,Total,75-79,20036
TO,Total,80-84,13080
TO,Total,85-89,6489
TO,Total,90+,3285
