"Appendix 1b. Person-years by State, Sex, and Age Group for 2019",,,
State,Sex,Age Group,2019 Person-years
CE,Male,75-79,63467
CE,Male,80-84,41141
CE,Male,85-89,19046
CE,Male,90+,11759
CE,Total,0,132151
CE,Total,1-4,525643
CE,Total,5-9,643301
CE,Total,10-14,688048
CE,Total,15-19,744310
CE,Total,20-24,835300
CE,Total,25-29,803137
CE,Total,30-34,778794
CE,Total,35-39,707176
CE,Total,40-44,626850
CE,Total,45-49,551209
CE,Total,50-54,511521
CE,Total,55-59,435272
CE,Total,60-64,330920
CE,Total,65-69,269863
CE,Total,70-74,213454
CE,Total,75-79,147344
CE,Total,80-84,101561
CE,Total,85-89,50059
CE,Total,90+,32343
DF,Female,0,21174
DF,Female,1-4,79306
DF,Female,5-9,90756
DF,Female,10-14,104476
DF,Female,15-19,118287
DF,Female,20-24,125869
DF,Female,25-29,129558
DF,Female,30-34,138846
DF,Female,35-39,147104
DF,Female,40-44,133491
DF,Female,45-49,110356
DF,Female,50-54,96132
DF,Female,55-59,79794
DF,Female,60-64,62058
DF,Female,65-69,47356
DF,Female,70-74,33294
DF,Female,75-79,21593
DF,Female,80-84,14041
DF,Female,85-89,6905
DF,Female,90+,3960
DF,Male,0,22216
DF,Male,1-4,83536
DF,Male,5-9,95832
DF,Male,10-14,108878
DF,Male,15-19,121372
DF,Male,20-24,125163
DF,Male,25-29,124277
DF,Male,30-34,130815
DF,Male,35-39,131352
DF,Male,40-44,117444
DF,Male,45-49,97467
DF,Male,50-54,84057
DF,Male,55-59,65639
DF,Male,60-64,48791
DF,Male,65-69,35933
DF,Male,70-74,23951
DF,Male,75-79,14893
DF,Male,80-84,9135
DF,Male,85-89,3766
DF,Male,90+,1671
DF,Total,0,43390
DF,Total,1-4,162842
DF,Total,5-9,186588
DF,Total,10-14,213354
DF,Total,15-19,239659
DF,Total,20-24,251032
DF,Total,25-29,253835
DF,Total,30-34,269661
DF,Total,35-39,278456
DF,Total,40-44,250935
DF,Total,45-49,207823
DF,Total,50-54,180190
DF,Total,55-59,145433
DF,Total,60-64,110849
DF,Total,65-69,83290
DF,Total,70-74,57244
DF,Total,75-79,36486
DF,Total,80-84,23177
DF,Total,85-89,10671
DF,Total,90+,5631
ES,Female,0,28256
ES,Female,1-4,112374
ES,Female,5-9,136449
ES,Female,10-14,134611
ES,Female,15-19,145546
ES,Female,20-24,156244
ES,Female,25-29,158858
ES,Female,30-34,169065
ES,Female,35-39,165922
ES,Female,40-44,151355
ES,Female,45-49,131664
ES,Female,50-54,124386
ES,Female,55-59,113720
ES,Female,60-64,96666
ES,Female,65-69,74185
ES,Female,70-74,51441
ES,Female,75-79,36557
ES,Female,80-84,25635
ES,Female,85-89,14850
ES,Female,90+,10981
ES,Male,0,29590
ES,Male,1-4,117461
ES,Male,5-9,142415
ES,Male,10-14,140368
ES,Male,15-19,150237
ES,Male,20-24,158499
ES,Male,25-29,159843
ES,Male,30-34,170107
ES,Male,35-39,163560
ES,Male,40-44,145316
ES,Male,45-49,123872
ES,Male,50-54,116617
ES,Male,55-59,104206
ES,Male,60-64,86942
ES,Male,65-69,65091
ES,Male,70-74,42257
ES,Male,75-79,27508
ES,Male,80-84,17725
ES,Male,85-89,9543
ES,Male,90+,5834
ES,Total,0,57846
ES,Total,1-4,229836
ES,Total,5-9,278864
ES,Total,10-14,274979
ES,Total,15-19,295783
ES,Total,20-24,314744
ES,Total,25-29,318701
ES,Total,30-34,339172
ES,Total,35-39,329482
ES,Total,40-44,296671
