state,sex,age_group,death_month,all_cause_deaths
ES,Male,70-74,12,177
ES,Male,75-79,12,159
ES,Male,80-84,12,140
ES,Male,85-89,12,120
ES,Male,90+,12,90
RJ,Female,0,1,101
RJ,Female,1-4,1,14
RJ,Female,5-9,1,11
RJ,Female,10-14,1,12
RJ,Female,15-19,1,26
RJ,Female,20-24,1,34
RJ,Female,25-29,1,41
RJ,Female,30-34,1,57
RJ,Female,35-39,1,76
RJ,Female,40-44,1,142
RJ,Female,45-49,1,161
RJ,Female,50-54,1,217
RJ,Female,55-59,1,330
RJ,Female,60-64,1,414
RJ,Female,65-69,1,528
RJ,Female,70-74,1,592
RJ,Female,75-79,1,617
RJ,Female,80-84,1,714
RJ,Female,85-89,1,721
RJ,Female,90+,1,870
RJ,Female,0,2,94
RJ,Female,1-4,2,12
RJ,Female,5-9,2,3
RJ,Female,10-14,2,9
RJ,Female,15-19,2,26
RJ,Female,20-24,2,36
RJ,Female,25-29,2,33
RJ,Female,30-34,2,55
RJ,Female,35-39,2,70
RJ,Female,40-44,2,113
RJ,Female,45-49,2,146
RJ,Female,50-54,2,201
RJ,Female,55-59,2,310
RJ,Female,60-64,2,404
RJ,Female,65-69,2,535
RJ,Female,70-74,2,570
RJ,Female,75-79,2,560
RJ,Female,80-84,2,664
RJ,Female,85-89,2,636
RJ,Female,90+,2,737
RJ,Female,0,3,89
RJ,Female,1-4,3,13
RJ,Female,5-9,3,6
RJ,Female,10-14,3,7
RJ,Female,15-19,3,31
RJ,Female,20-24,3,36
RJ,Female,25-29,3,56
RJ,Female,30-34,3,77
RJ,Female,35-39,3,94
RJ,Female,40-44,3,111
RJ,Female,45-49,3,172
RJ,Female,50-54,3,258
RJ,Female,55-59,3,351
RJ,Female,60-64,3,450
RJ,Female,65-69,3,614
RJ,Female,70-74,3,586
RJ,Female,75-79,3,670
RJ,Female,80-84,3,716
RJ,Female,85-89,3,711
RJ,Female,90+,3,788
RJ,Female,0,4,107
RJ,Female,1-4,4,11
RJ,Female,5-9,4,5
RJ,Female,10-14,4,7
RJ,Female,15-19,4,27
RJ,Female,20-24,4,37
RJ,Female,25-29,4,53
RJ,Female,30-34,4,77
RJ,Female,35-39,4,121
